Filename,Detected Objects
Recreation_park_off_hwy_395___a_little_girl_slidin.png,"swing (0.08), folding chair (0.06), parachute, chute (0.05), ice lolly, lolly, lollipop, popsicle (0.04), umbrella (0.03)"
It_is_built_on_a_old_saloon_from_the_civil_war_in.png,"sliding door (0.19), window screen (0.10), prison, prison house (0.07), bannister, banister, balustrade, balusters, handrail (0.05), barbershop (0.03)"
A_female_figure_appears_repeatedly_in_a_classroom.png,"medicine chest, medicine cabinet (0.19), sliding door (0.17), wardrobe, closet, press (0.06), radiator (0.03), refrigerator, icebox (0.02)"
Back_in_the_1950_s_a_man_murdered_his_wife__and_th.png,"picket fence, paling (0.32), barn (0.20), boathouse (0.07), church, church building (0.05), birdhouse (0.05)"
Eerie_waves_of_murmuring_voices_have_been_heard_in.png,"tobacco shop, tobacconist shop, tobacconist (0.88), bookshop, bookstore, bookstall (0.02), confectionery, confectionary, candy store (0.02)"
Merchandise_and_clothes_are_found_on_the_floor_the.png,"wardrobe, closet, press (0.38), restaurant, eating house, eating place, eatery (0.06), library (0.04), prison, prison house (0.03), sweatshirt (0.03)"
This_old__adults_only__hotel_was_once_the_former_s.png,"palace (0.63), lakeside, lakeshore (0.04), library (0.04), flagpole, flagstaff (0.04), prison, prison house (0.03)"
The_old_county_library_is_haunted__Down_main_stree.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.25), library (0.21), gas pump, gasoline pump, petrol pump, island dispenser (0.04), sliding door (0.04), bookshop, bookstore, bookstall (0.02)"
On_the_sixth_floor_of_Palo_Verde_East__there_was_a.png,"hoopskirt, crinoline (0.64), gown (0.14), groom, bridegroom (0.05)"
the_Old_Salina_court_house___there_is_a_holding_ce.png,"library (0.36), palace (0.28), window shade (0.10), prison, prison house (0.04), window screen (0.02)"
It_is_known_to_be_said_that_in_the_pool_area_the_l.png,"bathing cap, swimming cap (0.19), killer whale, killer, orca, grampus, sea wolf, Orcinus orca (0.09), snorkel (0.08), swimming trunks, bathing trunks (0.05), bikini, two-piece (0.03)"
This_cemetery_is_an_extremely_old_burial_site_that.png,"picket fence, paling (0.17), brass, memorial tablet, plaque (0.09), worm fence, snake fence, snake-rail fence, Virginia fence (0.08), pedestal, plinth, footstall (0.06), obelisk (0.03)"
Faces_have_been_seen_in_the_bushes__Strange_noises.png,"brass, memorial tablet, plaque (0.84)"
At_night_there_over_by_the_playground_down_by_the.png,"water tower (0.43), mailbox, letter box (0.10), park bench (0.10), shopping cart (0.06), car mirror (0.04)"
The_old_high_school_is_fixed_up_and_serves_a_diffe.png,"prison, prison house (0.80)"
A__ghost__inhabits_the_basement___cellar__often_ca.png,"mask (0.69), ski mask (0.11), abaya (0.03), prison, prison house (0.02)"
Hunt_Valley_Town_Center___Several_Co_workers_of_mi.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.67), library (0.18), planetarium (0.11)"
Davidge_Hall____Davidge_Hall_has_been_host_to_many.png,"library (0.50), window shade (0.08), window screen (0.05), patio, terrace (0.05), flagpole, flagstaff (0.04)"
Newcomb_Hall___Years_ago__a_student_who_had_been_h.png,"lakeside, lakeshore (0.46), palace (0.30), library (0.09)"
In_the_late_1800s_the_San_Jacinto_Valley__Hemet__.png,"alp (0.61), barn (0.16), valley, vale (0.04), boathouse (0.03), church, church building (0.03)"
ComedySportz_is_haunted_by_an_unknown_female_entit.png,"toilet seat (0.32), washer, automatic washer, washing machine (0.18), sewing machine (0.18), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.13), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.03)"
A_stairway_is_haunted_in_the_kitchen_area_off_the.png,"bannister, banister, balustrade, balusters, handrail (0.97)"
Mansion___This_massive_mansion_directly_across_the.png,"monastery (0.38), vault (0.20), palace (0.19), prison, prison house (0.07), library (0.02)"
Believed_to_be_haunted_by_girl_who_was_abducted__k.png,"abaya (0.81), cloak (0.08), park bench (0.02)"
This_is_a_bed_and_breakfast_place_right_now__a_man.png,"picket fence, paling (0.37), mobile home, manufactured home (0.34), flagpole, flagstaff (0.05), window screen (0.02), window shade (0.02)"
This_museum_is_claimed_to_be_haunted_by_several_sp.png,"medicine chest, medicine cabinet (0.23), home theater, home theatre (0.20), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.08), soap dispenser (0.08), pool table, billiard table, snooker table (0.07)"
Medical_Center____This_building_used_to_house_a_mo.png,"prison, prison house (0.94)"
There_are_a_number_of_different_experiences__inclu.png,vestment (0.94)
The_narrow_bridge_in_the_middle_of_the_road____bac.png,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.16), car mirror (0.05), suspension bridge (0.04), chainlink fence (0.03), maze, labyrinth (0.03)"
An_abandoned_sanitarium_which_later_was_used_for_t.png,"prison, prison house (0.80)"
October_2007_Warning__as_with_every_haunted_place.png,"street sign (0.90), traffic light, traffic signal, stoplight (0.04)"
Some_people_say_that_a_school_bus_full_a_kids_fell.png,"steel arch bridge (0.70), pier (0.08), viaduct (0.05), suspension bridge (0.02)"
You_can_go_up_to_the_gates_in_the_middle_of_winter.png,"steam locomotive (0.66), passenger car, coach, carriage (0.08), Model T (0.02), mailbox, letter box (0.02), submarine, pigboat, sub, U-boat (0.02)"
Cold_spots_in_the_women_s_bathroom_by_one_of_the_e.png,"medicine chest, medicine cabinet (0.20), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.09), sliding door (0.09), refrigerator, icebox (0.07), file, file cabinet, filing cabinet (0.04)"
In_Basile_High_School_s_old_gym_there_has_been_see.png,"basketball (0.24), shopping cart (0.22), volleyball (0.16), shopping basket (0.05), racket, racquet (0.04)"
When_you_park_your_car_at_the_bottom_of_the_hill_a.png,"television, television system (0.27), monitor (0.26), screen, CRT screen (0.07), home theater, home theatre (0.05), beacon, lighthouse, beacon light, pharos (0.02)"
Basement_of_Mausoleum_four_slabs_of_marble_create.png,"vault (0.86), monastery (0.03)"
Sudden_drafts_of_cold_air_when_windows_are_shut__s.png,"sliding door (0.73), window screen (0.10), window shade (0.03)"
Reports_of_a_burning_man_.png,"cloak (0.25), abaya (0.24), spotlight, spot (0.06), groom, bridegroom (0.05), gown (0.03)"
The_old_church_on_the_north_side_of_Bangor_St__has.png,"church, church building (0.89), bell cote, bell cot (0.03)"
This_is_a_cemetery_on_an_old_back_road_called_ceme.png,"worm fence, snake fence, snake-rail fence, Virginia fence (0.61), picket fence, paling (0.24)"
The_original_Paso_Robles_Inn_caught_on_fire_many_y.png,"monastery (0.76), castle (0.08), palace (0.07)"
It_was_said_that_a_high_school_graduate_from_Hayde.png,"maillot (0.24), maillot, tank suit (0.16), soccer ball (0.09), knee pad (0.08), bikini, two-piece (0.08)"
the_road_to_the_graveyard_is_about_2_miles_long_an.png,"dam, dike, dyke (0.58), chainlink fence (0.16), worm fence, snake fence, snake-rail fence, Virginia fence (0.02)"
Is_said_to_be_haunted_by_a_witch__When_you_find_a.png,"prison, prison house (0.52), bannister, banister, balustrade, balusters, handrail (0.08), park bench (0.04), radiator (0.04), sliding door (0.02)"
When_you_have_your_car_to_where_you_are_about_to_g.png,"convertible (0.46), beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.16), limousine, limo (0.08), car wheel (0.04), pickup, pickup truck (0.03)"
Students_believe_the_fourth_floor_is_haunted_becau.png,"organ, pipe organ (0.75), vault (0.02)"
This_science_museum_was_shut_down_in_the_early_90_.png,"window screen (0.23), picket fence, paling (0.15), flagpole, flagstaff (0.09), church, church building (0.06), library (0.05)"
Scary_Dairy_is_located_near_California_State_Unive.png,"picket fence, paling (0.25), mobile home, manufactured home (0.21), barn (0.11), worm fence, snake fence, snake-rail fence, Virginia fence (0.09), beacon, lighthouse, beacon light, pharos (0.02)"
A_long_time_ago_there_was_a_wreck_at__cry_baby__br.png,"thresher, thrasher, threshing machine (0.14), plow, plough (0.12), barrow, garden cart, lawn cart, wheelbarrow (0.08), lumbermill, sawmill (0.03), horse cart, horse-cart (0.03)"
There_are_several_spirits_here__One_is_an_older__h.png,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.49), worm fence, snake fence, snake-rail fence, Virginia fence (0.05), mailbox, letter box (0.03), picket fence, paling (0.02), pedestal, plinth, footstall (0.02)"
Just_drive_up_and_down_this_road_at_night_and_you.png,"chainlink fence (0.12), lakeside, lakeshore (0.06), trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.05), worm fence, snake fence, snake-rail fence, Virginia fence (0.04), car mirror (0.04)"
On_Old_Santa_Cruz_highway__going_toward_Los_Gatos_.png,"car mirror (0.16), bison (0.09), horse cart, horse-cart (0.05), Scotch terrier, Scottish terrier, Scottie (0.04), trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.02)"
The_Wendy_is_haunted_by_several_different_ghosts_.png,"cloak (0.41), vestment (0.40), altar (0.04)"
Pictures_have_been_taken_of_ghosts_looking_in_from.png,"sliding door (0.38), shoji (0.29), prison, prison house (0.07), bannister, banister, balustrade, balusters, handrail (0.02)"
There_is_a_story_that_in_the_late_1800_s_or_early.png,"barn (0.36), boathouse (0.03), trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.03), thresher, thrasher, threshing machine (0.03), half track (0.03)"
Believed_to_be_haunted_by_a_woman_and_child__A_bou.png,"cloak (0.42), fur coat (0.15), trench coat (0.03), spotlight, spot (0.02), mask (0.02)"
a_19th_Century_Victorian_mansion__in_the_woods__fa.png,"picket fence, paling (0.53), church, church building (0.10), beacon, lighthouse, beacon light, pharos (0.09), boathouse (0.05)"
The_Avilas_House___The_Avilas_House_is_an_old_mans.png,"monastery (0.36), library (0.20), palace (0.19), lakeside, lakeshore (0.02), bell cote, bell cot (0.02)"
A_ghost_named__Billy__is_believed_to_haunt_the_sch.png,"prison, prison house (0.84), sliding door (0.04), vault (0.02)"
many_a_times_people_have_reported_sounds_of_mooing.png,"ox (0.60), oxcart (0.05), ram, tup (0.02), groom, bridegroom (0.02), gown (0.02)"
One_night_in_1974__a_girl_was_raped_and_murdered_i.png,"guillotine (0.27), refrigerator, icebox (0.17), medicine chest, medicine cabinet (0.05), prison, prison house (0.04), photocopier (0.03)"
Locals_rumor_that_there_is_an_old_white_church_hou.png,"church, church building (0.77), monastery (0.09), bell cote, bell cot (0.02)"
building_is_now_abandoned_from_bankruptcy__Reports.png,"monastery (0.64), palace (0.19), library (0.03)"
Galloway_Hall___Rumor_has_it_that_a_ghost_of_a_you.png,"palace (0.70), castle (0.09)"
The_witches__grave_is_haunted_by_the_witch_that_wa.png,"book jacket, dust cover, dust jacket, dust wrapper (0.30), jigsaw puzzle (0.09), guillotine (0.08), park bench (0.07), comic book (0.03)"
The_Korean_owner_of_this_place_was_killed_by_Chine.png,"barbershop (0.56), prison, prison house (0.15), barber chair (0.06), restaurant, eating house, eating place, eatery (0.03), tobacco shop, tobacconist shop, tobacconist (0.02)"
a_transparent_skull_appeared_floating_above_a_star.png,"mask (0.12), hook, claw (0.08), plunger, plumber's helper (0.06), screwdriver (0.05), lampshade, lamp shade (0.04)"
Hillside_Dorm___This_building_has_a_long_history_.png,"flagpole, flagstaff (0.69), library (0.23), window shade (0.04)"
An_old_mission_hospital_built_on_the_outskirts_of.png,monastery (0.95)
Correction_officers_have_seen_spirits_of_inmates_i.png,"vault (0.64), prison, prison house (0.22), viaduct (0.02)"
In_the_women_s_bathroom_in_building_3_there_is_the.png,"washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.16), medicine chest, medicine cabinet (0.15), shower curtain (0.15), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.07), turnstile (0.04)"
There_are_two_ghosts_of_Byng_Auditorium__1__A_litt.png,"theater curtain, theatre curtain (0.91)"
A_glowing_light_that_flickers_very_rapidly__bounce.png,"spotlight, spot (0.96)"
There_is_a_legend_that_there_is_a_graveyard_under.png,"prayer rug, prayer mat (0.52), scoreboard (0.12), solar dish, solar collector, solar furnace (0.10), bullet train, bullet (0.02), tray (0.02)"
Bonita_rd___Reports_of_an_older_man_appears_in_the.png,"unicycle, monocycle (0.10), bicycle-built-for-two, tandem bicycle, tandem (0.10), mountain bike, all-terrain bike, off-roader (0.09), lakeside, lakeshore (0.07), golfcart, golf cart (0.04)"
The_canals_of_the_Imperial_Valley_are_said_to_be_t.png,"fur coat (0.48), cloak (0.33), abaya (0.02)"
Proctor_Valley_Road___Haunted_by_a_ghostly_figure.png,"alp (0.17), unicycle, monocycle (0.06), suspension bridge (0.06), trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.05), car mirror (0.04)"
Several_visitors_to_the_vortex_have_seen_John_List.png,"boathouse (0.39), barn (0.12), tile roof (0.04), picket fence, paling (0.04), thatch, thatched roof (0.03)"
4_Peaks_has_a_cage_in_the_back__where_they_store_s.png,"fire screen, fireguard (0.45), prison, prison house (0.15), turnstile (0.07), shoji (0.04), bannister, banister, balustrade, balusters, handrail (0.04)"
A_woman_by_the_name_of_Aunt_Jeannie_Johnson_lived.png,"cloak (0.57), park bench (0.05), megalith, megalithic structure (0.02), maypole (0.02), birdhouse (0.02)"
Legend_has_it_that_old_man_Tucker_went_insane_one.png,"church, church building (0.07), lakeside, lakeshore (0.07), monastery (0.06), picket fence, paling (0.06), pole (0.04)"
Waitresses_have_seen_a_little_girl_with_long_hair.png,"restaurant, eating house, eating place, eatery (0.91), dining table, board (0.02)"
Many_stories_have_been_told_of_a_strange_dark_hood.png,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.37), picket fence, paling (0.07), worm fence, snake fence, snake-rail fence, Virginia fence (0.05), pedestal, plinth, footstall (0.04), prison, prison house (0.03)"
the_ghosts_of_some_of_the_100_s_of_people_she_and.png,"window screen (0.11), guillotine (0.10), medicine chest, medicine cabinet (0.07), fountain (0.06), cloak (0.05)"
Events_include_someone_whispering_your_name__feeli.png,"cloak (0.79), abaya (0.04), saltshaker, salt shaker (0.02)"
When_you_go_down_The_Canyon_road_you_will_find_an.png,"gorilla, Gorilla gorilla (0.52), chimpanzee, chimp, Pan troglodytes (0.07), siamang, Hylobates syndactylus, Symphalangus syndactylus (0.04), groenendael (0.03), orangutan, orang, orangutang, Pongo pygmaeus (0.02)"
Arvin_Mortuary___There_s_a_ghost_in_the_mortuary_t.png,"prison, prison house (0.67), bannister, banister, balustrade, balusters, handrail (0.06), sliding door (0.04), spotlight, spot (0.03), vault (0.02)"
Pleasant_Hall____Formerly_a_women_s_dormitory__now.png,"palace (0.30), castle (0.18), prison, prison house (0.15), picket fence, paling (0.03), window shade (0.03)"
this_old_park_known_to_a_lot_of_people_is_known_fo.png,"cloak (0.11), mosquito net (0.09), theater curtain, theatre curtain (0.06), viaduct (0.04), park bench (0.03)"
People_seen_walking_the_streets_on_horseback_and_t.png,"bison (0.56), ox (0.04), lakeside, lakeshore (0.03), groenendael (0.02), bearskin, busby, shako (0.02)"
lights_at_night__a_woman_standing_in_the_window__a.png,"shoji (0.60), fire screen, fireguard (0.14), window screen (0.05), window shade (0.03)"
West_Campus_Ole_Main___A_popular_football_player_d.png,"home theater, home theatre (0.48), cinema, movie theater, movie theatre, movie house, picture palace (0.39)"
The_plantation_house_was_used_for_a_civil_war_hosp.png,"boathouse (0.47), prison, prison house (0.16), paddlewheel, paddle wheel (0.02), window screen (0.02), greenhouse, nursery, glasshouse (0.02)"
once__back_in_the_late_1800_s_the_place_where_the.png,"church, church building (0.64), barn (0.20), bell cote, bell cot (0.06)"
there_is_said_to_be_a_glowing_head_stone_in_the_ce.png,"packet (0.31), brass, memorial tablet, plaque (0.15), envelope (0.05), book jacket, dust cover, dust jacket, dust wrapper (0.04), candle, taper, wax light (0.04)"
The_ghost_is_of_the_owner_who_was_accidentally_kil.png,"toilet tissue, toilet paper, bathroom tissue (0.11), paper towel (0.09), iron, smoothing iron (0.07), gown (0.07), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.03)"
There_are_2_ghosts_that_haunt_this_building__A_wom.png,"palace (0.78), library (0.03), monastery (0.02)"
Faces_seen_around_house_and_inside_house__voices_o.png,"radiator (0.13), medicine chest, medicine cabinet (0.11), switch, electric switch, electrical switch (0.05), prison, prison house (0.04), sliding door (0.04)"
There_is_a_tombstone_in_Rocky_Hill_Cemetery_that_b.png,"brass, memorial tablet, plaque (0.75), fire screen, fireguard (0.04)"
Was_once_a_College_of_the_Performing_Arts__and_it.png,"vault (0.45), cinema, movie theater, movie theatre, movie house, picture palace (0.13), prison, prison house (0.13), theater curtain, theatre curtain (0.03)"
This_school_is_haunted_by_a_former_student_who_die.png,palace (0.90)
A_girl_was_killed_by_another_student_in_the_gym_an.png,"ping-pong ball (0.83), racket, racquet (0.03), dumbbell (0.02), barbell (0.02)"
Shear_Hall_the_dormitory__football_dorms__there_is.png,"window shade (0.34), window screen (0.22), palace (0.13), flagpole, flagstaff (0.11), library (0.09)"
NASA_GSFC___Bldg__11___feel_as_if_someone_is_watch.png,"prison, prison house (0.51), sliding door (0.05), shoji (0.04), library (0.02)"
Reportedly_you_can_hear_people_talking_when_there.png,"window screen (0.38), window shade (0.26), china cabinet, china closet (0.05), sliding door (0.04), greenhouse, nursery, glasshouse (0.03)"
Highway_810___Down_highway_810__there_is_an_old_re.png,barn (0.95)
Franz_Hall___A_janitor_was_said_to_have_been_clean.png,"vestment (0.13), sliding door (0.09), lab coat, laboratory coat (0.07), prison, prison house (0.04), punching bag, punch bag, punching ball, punchball (0.04)"
There_are_two_ghosts_in_the_lecture_center__One_ma.png,"bannister, banister, balustrade, balusters, handrail (0.63), coil, spiral, volute, whorl, helix (0.03), prison, prison house (0.02), paddlewheel, paddle wheel (0.02)"
The_community_of_Indian_Meadows_and_its_sister_com.png,"barn (0.64), worm fence, snake fence, snake-rail fence, Virginia fence (0.12), guillotine (0.03)"
Franklin_High_School___The_ghost_of_a_deceased_stu.png,"prison, prison house (0.53), cinema, movie theater, movie theatre, movie house, picture palace (0.16), turnstile (0.02), radiator (0.02)"
Balls_of_light_strange_smoke_smells__This_is_so_re.png,"spotlight, spot (0.37), lighter, light, igniter, ignitor (0.18), torch (0.12), traffic light, traffic signal, stoplight (0.09), suspension bridge (0.03)"
Recently_Fallbrook_Union_High_School_weft_through.png,"brass, memorial tablet, plaque (0.25), picket fence, paling (0.09), worm fence, snake fence, snake-rail fence, Virginia fence (0.07), library (0.07), stupa, tope (0.02)"
Built_over_an_Indian_burial_ground__Back_in_1972_.png,"passenger car, coach, carriage (0.91), freight car (0.04)"
Cupboards_opening_and_slamming_shut__Doors_open_an.png,"doormat, welcome mat (0.79), sliding door (0.12), radiator (0.02)"
American_River___A_drowning_victim__in_wet_clothin.png,"reel (0.40), abaya (0.12), lakeside, lakeshore (0.05), cloak (0.03), cliff, drop, drop-off (0.03)"
in_2003_at_the_end_of_April_the_15th_the_previous.png,"wardrobe, closet, press (0.82), gown (0.03)"
Outside_of_Bartlesville__near_the_infamous__haunte.png,"hay (0.71), barn (0.03)"
During_the_spring_season_there_is_a_giant_puddle_u.png,"gondola (0.17), planetarium (0.09), boathouse (0.07), palace (0.07), ping-pong ball (0.05)"
This_camp_is_for_kids_under_18_who_are_disabled__T.png,"barn (0.72), worm fence, snake fence, snake-rail fence, Virginia fence (0.07), lumbermill, sawmill (0.04), boathouse (0.04)"
Three_fraternity_brothers_were_killed_in_an_accide.png,"window screen (0.18), solar dish, solar collector, solar furnace (0.13), picket fence, paling (0.08), mobile home, manufactured home (0.08), barn (0.07)"
Nyman_Hall___reports_of_a_former_drama_teacher_see.png,"theater curtain, theatre curtain (0.94)"
Reports_a_gray_figure_coming_out_of_the_men_s_bath.png,"sliding door (0.44), spotlight, spot (0.06), doormat, welcome mat (0.05), bannister, banister, balustrade, balusters, handrail (0.04), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.03)"
Our_Lady_of_Talpa_Catholic_School___In_the_school_.png,"vestment (0.81), cloak (0.02)"
The_daughter_of_the_plantation_owner_fell_down_the.png,"bannister, banister, balustrade, balusters, handrail (0.83)"
A_strange_man_dressed_from_the_1920_s__has_been_se.png,"cloak (0.22), vestment (0.19), crate (0.07), wardrobe, closet, press (0.04), fur coat (0.02)"
A_nun_has_been_seen_walking_the_halls_in_the_oldes.png,"prison, prison house (0.49), vestment (0.28), lab coat, laboratory coat (0.06)"
About_two_or_three_miles_southeast_of_downtown_Kin.png,"handkerchief, hankie, hanky, hankey (0.19), cliff, drop, drop-off (0.13), wool, woolen, woollen (0.09), cliff dwelling (0.05), velvet (0.03)"
This_mansion_is_haunted_by_Joseph_Jefferson_s__the.png,"vault (0.61), prison, prison house (0.23), library (0.02)"
Usually_during_late_September_or_early_October__bu.png,"cloak (0.64), abaya (0.09), iron, smoothing iron (0.04), car mirror (0.02)"
One_night_in_1789_a_groundskeeper_for_the_tubercul.png,"vestment (0.40), theater curtain, theatre curtain (0.10), grand piano, grand (0.06), altar (0.04), groom, bridegroom (0.03)"
A_woman_was_struck_and_killed_on_the_blind_corner.png,"restaurant, eating house, eating place, eatery (0.53), tobacco shop, tobacconist shop, tobacconist (0.34), bakery, bakeshop, bakehouse (0.04)"
An_apparition_a_boy_believed_to_be_a_senior_who_wa.png,"cloak (0.93), poncho (0.02)"
Handprints_found_frequently_on_movie_screen__This.png,"paintbrush (0.25), shovel (0.09), screwdriver (0.08), prison, prison house (0.06), projectile, missile (0.05)"
there_have_been_a_sighting_of_a_headless_person_be.png,"punching bag, punch bag, punching ball, punchball (0.20), abaya (0.08), prison, prison house (0.07), turnstile (0.05), cloak (0.05)"
If_you_drop_a_rock_in_the_well_at_the_middle_of_th.png,"church, church building (0.77), vault (0.11), bell cote, bell cot (0.05)"
many_years_before_it_was_a_military_school_it_was.png,"crutch (0.28), prison, prison house (0.18), stretcher (0.11), folding chair (0.06), radiator (0.05)"
Most_of_the_very_large_Rivera_Library_was_remodele.png,library (0.94)
NASA_GSFC___Bldg__25____strange_occureances__and_s.png,"library (0.79), prison, prison house (0.10), planetarium (0.03)"
There_have_been_numerous_sightings_of_a_woman_sear.png,"horse cart, horse-cart (0.87)"
Puente_Hills_Mall___Reports_of_phenomenon_happen_i.png,"prison, prison house (0.31), shoji (0.15), sliding door (0.04), turnstile (0.02)"
Footsteps_have_been_heard_in_the_back_of_the_build.png,"prison, prison house (0.46), doormat, welcome mat (0.30), sliding door (0.02)"
Formerly_Pabst_Blue_Ribbon__this_complex_houses_on.png,"prison, prison house (0.49), shoji (0.15), bannister, banister, balustrade, balusters, handrail (0.03), passenger car, coach, carriage (0.03), sliding door (0.02)"
McCandles_Hall___It_s_supposedly_haunted_by_a_girl.png,"church, church building (0.56), monastery (0.20), vault (0.04)"
It_is_said_that_the_ghosts_of_condemned_prisoners.png,"prison, prison house (0.74), vault (0.04), crate (0.03)"
Said_to_be_haunted_by_a_janitor_who_walks_the_kitc.png,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.74), abaya (0.05), safe (0.02), fire screen, fireguard (0.02)"
A_man_was_killed_in_the_hotel__and_now_he_s_haunti.png,"sliding door (0.68), redbone (0.02), doormat, welcome mat (0.02), miniature pinscher (0.02)"
Witnesses_walking_up_the_path_from_the_elevated_cr.png,"umbrella (0.24), giant schnauzer (0.11), lakeside, lakeshore (0.06), spotlight, spot (0.05), seashore, coast, seacoast, sea-coast (0.02)"
The_old_firehouse____is_said_to_be_haunted_by_a_fe.png,"window shade (0.52), window screen (0.13), picket fence, paling (0.02), palace (0.02), flagpole, flagstaff (0.02)"
The_unsolved_murder_of_a_family_took_place_in_cabi.png,"patio, terrace (0.22), barber chair (0.20), restaurant, eating house, eating place, eatery (0.03), shoji (0.03), theater curtain, theatre curtain (0.02)"
An_old_man_is_sometimes_spotted_at_table_13_and_in.png,"restaurant, eating house, eating place, eatery (0.97)"
There_are_little_people_that_live_around_the_mount.png,"pedestal, plinth, footstall (0.25), plastic bag (0.09), groom, bridegroom (0.07), gasmask, respirator, gas helmet (0.07), cloak (0.03)"
One_of_the_rooms_in_the_hotel_is_haunted_by_a_man.png,four-poster (0.92)
NASA_GSFC___Bldg__27_Motor_pool___strange_feelings.png,"window shade (0.23), sliding door (0.22), shoji (0.11), vault (0.06), window screen (0.06)"
Please_do_not_attempt_to_trespass__Security_guards.png,"rapeseed (0.59), park bench (0.07), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.06), worm fence, snake fence, snake-rail fence, Virginia fence (0.02), lakeside, lakeshore (0.02)"
The_last_people_to_live_there_was_a_girl_and_her_m.png,"church, church building (0.38), picket fence, paling (0.09), window screen (0.07), alp (0.03), barn (0.03)"
April_2008_Update__Formerly_listed_as_Skirvin_Hote.png,"bell cote, bell cot (0.17), crane (0.10), mosque (0.06), airship, dirigible (0.05), balloon (0.05)"
browning_road_in_Delano_is_known_to_have__ghost_hi.png,"hourglass (0.51), bubble (0.15), car mirror (0.02)"
Music_is_played_occasionally_on_an_old_piano_that.png,"upright, upright piano (0.93), grand piano, grand (0.02)"
