Filename,Detected Objects
Strange_sense_of_heat_when_entering_field__Just_a.png,"gondola (0.19), palace (0.14), monastery (0.13), book jacket, dust cover, dust jacket, dust wrapper (0.04), bell cote, bell cot (0.02)"
Since_the_road_is_very_dark_at_least_4_deaths_are.png,"breakwater, groin, groyne, mole, bulwark, seawall, jetty (0.40), worm fence, snake fence, snake-rail fence, Virginia fence (0.14), stone wall (0.13), lakeside, lakeshore (0.06), picket fence, paling (0.05)"
A_little_girl_died_on_this_bridge_when_her_brother.png,"vault (0.36), prison, prison house (0.09), monastery (0.07), barrow, garden cart, lawn cart, wheelbarrow (0.02)"
Agaard_road_is_on_the_right_side_of_highway_6_head.png,barn (0.90)
Located_about_a_mile_and_a_half_from_the_Loch_Rave.png,"picket fence, paling (0.56), boathouse (0.12), church, church building (0.11), barn (0.03), lakeside, lakeshore (0.02)"
People_have_claimed_to_hear_footsteps_and_laughing.png,"theater curtain, theatre curtain (0.07), barn (0.06), cloak (0.06), vestment (0.05), mask (0.05)"
The_state_hospital_is_known_to_have_shadows_of_peo.png,"prison, prison house (0.99)"
Porter_College___B_Building___3rd_Floor_North_of_t.png,"park bench (0.81), picket fence, paling (0.05), maze, labyrinth (0.04)"
is_rumored_to_be_the_stomping_grounds_of_many_an_r.png,"monastery (0.35), Bouvier des Flandres, Bouviers des Flandres (0.04), thatch, thatched roof (0.03), vault (0.02), palace (0.02)"
If_you_take_101_out_by_a_place_named_green_hills_g.png,"comic book (0.52), book jacket, dust cover, dust jacket, dust wrapper (0.22), jigsaw puzzle (0.06), church, church building (0.02), street sign (0.02)"
It_was_staffed_for_years_by_a_group_of_nuns__One_o.png,"boathouse (0.76), picket fence, paling (0.04), barn (0.02)"
The_Puente_House_is_located_on_F_St__in_downtown_S.png,"picket fence, paling (0.96)"
There_is_a_tombstone_in_there_that_a_young_girl_si.png,"pedestal, plinth, footstall (0.43), triumphal arch (0.07), monastery (0.07), mobile home, manufactured home (0.04), brass, memorial tablet, plaque (0.02)"
The_wife_of_a_janitor_died_from_injuries_sustained.png,"prison, prison house (0.99)"
Bowling_Green__Ohio_Wood_County_Historical_Museum_.png,"barn (0.73), barrel, cask (0.19)"
College_Hall___4th_Floor___people_have_heard_the_c.png,"prison, prison house (0.94)"
Numerous_sightings_of_children_reported_by_patient.png,"church, church building (0.91), barn (0.02)"
Perry_Twp____Calvary_Cemetery___Lincoln_Way_East__.png,"pedestal, plinth, footstall (0.61), obelisk (0.13), stupa, tope (0.03), flagpole, flagstaff (0.03), brass, memorial tablet, plaque (0.02)"
A_young_female_girl_with_light_hair_is_said_to_pat.png,"wig (0.14), spotlight, spot (0.08), maillot (0.02), mask (0.02), brassiere, bra, bandeau (0.02)"
There_are_images_of_demons_on_either_side_of_the_b.png,"guillotine (0.58), wardrobe, closet, press (0.06), fire screen, fireguard (0.02), safe (0.02), medicine chest, medicine cabinet (0.02)"
A_woman_in_a_white_formal_gown_haunts_the_cemetery.png,"hoopskirt, crinoline (0.68), overskirt (0.14), gown (0.07)"
Located_just_on_the_banks_of_the_Tallapoosa_River.png,"barn (0.47), church, church building (0.06), monastery (0.04), worm fence, snake fence, snake-rail fence, Virginia fence (0.04), boathouse (0.03)"
Alpha_Delta_Pi_Sorority____According_to_some_girls.png,"palace (0.29), theater curtain, theatre curtain (0.19), organ, pipe organ (0.07), stage (0.04), triumphal arch (0.02)"
The_high_school_auditorium_is_haunted_with_a_women.png,"stage (0.12), cinema, movie theater, movie theatre, movie house, picture palace (0.12), theater curtain, theatre curtain (0.12), vault (0.06), bannister, banister, balustrade, balusters, handrail (0.05)"
Dark_Room___Many_students_that_have_the_photograph.png,"church, church building (0.14), comic book (0.10), jigsaw puzzle (0.10), book jacket, dust cover, dust jacket, dust wrapper (0.09), carousel, carrousel, merry-go-round, roundabout, whirligig (0.03)"
a_sighting_of_a_ghost_husky__dog__with_threelegs_r.png,"Siberian husky (0.72), Eskimo dog, husky (0.19), malamute, malemute, Alaskan malamute (0.03)"
located_in_California_s_Preservation_Park_Historic.png,"boathouse (0.24), church, church building (0.21), picket fence, paling (0.09), lakeside, lakeshore (0.09), barn (0.08)"
During_Hurricane_Katrina__numerous_people_were_kil.png,"boathouse (0.76), lakeside, lakeshore (0.05)"
Its_said_that_the_library_is_suppose_to_be_haunted.png,library (0.93)
Wilson_Hall___People_say_that_at_night_a_ghost_com.png,"altar (0.35), church, church building (0.32), monastery (0.11), vault (0.08), palace (0.04)"
haunted_by_Thomas_Whaley___it_is_believed_there_ar.png,"church, church building (0.46), picket fence, paling (0.05), barn (0.04), castle (0.02), alp (0.02)"
Right_below_the_bridge_is_the_small_town_cemetery_.png,"boathouse (0.50), dam, dike, dyke (0.16), lakeside, lakeshore (0.08), castle (0.04), viaduct (0.03)"
it_was_been_said_that_Mr__Hughs_the_man_the_hospit.png,"palace (0.67), castle (0.04), prison, prison house (0.02), church, church building (0.02)"
At_the_junction_of_the_Pea_River_and_the_Choctahat.png,"street sign (0.21), horse cart, horse-cart (0.10), gas pump, gasoline pump, petrol pump, island dispenser (0.08), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.06), mailbox, letter box (0.03)"
Dog_Town___Hidden_in_the_woods_off_of_rte_127__is.png,"Irish setter, red setter (0.17), warthog (0.07), Irish terrier (0.04), wild boar, boar, Sus scrofa (0.04), wombat (0.03)"
Kirtley_Hall___Room_313_is_haunted_by_two_differen.png,"wardrobe, closet, press (0.21), palace (0.15), prayer rug, prayer mat (0.08), upright, upright piano (0.04), four-poster (0.04)"
On_Rt__105__1_mile_south_of_I_495__Closed_due_to_u.png,"barn (0.50), boathouse (0.16), worm fence, snake fence, snake-rail fence, Virginia fence (0.06), picket fence, paling (0.06), beacon, lighthouse, beacon light, pharos (0.04)"
The_capital_was_burned_down_twice_by_fire__One_of.png,"church, church building (0.17), mobile home, manufactured home (0.11), barrow, garden cart, lawn cart, wheelbarrow (0.07), geyser (0.05), steam locomotive (0.04)"
an_apparition_of_a_transparent_small_boy_in_a_jack.png,"cloak (0.41), vestment (0.10), abaya (0.04), punching bag, punch bag, punching ball, punchball (0.03)"
You_travel_down_the_twisted_lane_until_you_reach_a.png,"passenger car, coach, carriage (0.92)"
A_slave_poisoned_her_owners_wife_and_two_children.png,"guillotine (0.83), maypole (0.03)"
They_say_that_if_you_go_to_Strouds_Run__at_any_tim.png,"boathouse (0.79), picket fence, paling (0.04), barn (0.03), palace (0.02)"
Cincinnati_Museum_Center___In_the_early_1990s__the.png,"prison, prison house (0.87), library (0.02)"
Little_known_but_to_some_employees__and_those_who.png,"boathouse (0.83), picket fence, paling (0.06)"
Supposedly_People_were_hung_from_the_old_oak_in_th.png,"palace (0.33), prison, prison house (0.07), viaduct (0.07), triumphal arch (0.05), library (0.05)"
San_L_.png,"monastery (0.35), palace (0.24), triumphal arch (0.20), vault (0.05), church, church building (0.02)"
Haunted_Condo___There_are_many_haunting_stories__Y.png,"prison, prison house (0.60), vault (0.03), passenger car, coach, carriage (0.03), sliding door (0.02)"
This_building_was_once_a_whorehouse__In_the_mid_19.png,"monastery (0.42), palace (0.21), prison, prison house (0.08), church, church building (0.03), crate (0.02)"
Located_off_State_rt_62_is_what_is_left_of_an_old.png,"barn (0.90), church, church building (0.03)"
this_site_at_one_time_was_used_as_an_execution_gro.png,barn (0.95)
orbs_showing_up_in_pictures_something_banging_on_t.png,"pool table, billiard table, snooker table (0.71), ping-pong ball (0.29)"
The_men_s_restroom_in_Red_Hill_Park_by_the_Auditor.png,"washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.41), toilet seat (0.13), bathtub, bathing tub, bath, tub (0.10), prison, prison house (0.07), medicine chest, medicine cabinet (0.06)"
1976___Was_the_start_of_the_Memorial_Tournament_Ja.png,"mobile home, manufactured home (0.26), greenhouse, nursery, glasshouse (0.13), picket fence, paling (0.10), window screen (0.05), barn (0.05)"
At_this_nice_but_not_so_quiet_hotel__many_things_h.png,"vault (0.62), monastery (0.06), wardrobe, closet, press (0.04), prison, prison house (0.02)"
Pickaway_Manor___It_is_said_that_a_woman_that_once.png,"church, church building (0.82), monastery (0.06)"
Abandoned___Reports_of_cold_spots__an_apparition_o.png,barn (0.93)
Young_man_killed_by_drunk_driver_on_that_road__Dri.png,"mobile home, manufactured home (0.41), unicycle, monocycle (0.14), jinrikisha, ricksha, rickshaw (0.02), stretcher (0.02), tricycle, trike, velocipede (0.02)"
People_say_that_years_before__a_woman_and_her_baby.png,"church, church building (0.47), monastery (0.20), mosque (0.04), prison, prison house (0.03), vault (0.02)"
A_girl_in_a_formal_dress_runs_across_the_lobby__th.png,"overskirt (0.51), hoopskirt, crinoline (0.33), cloak (0.02)"
Throughout_the_early_1900_s_till_the_1930_s_was_a.png,"church, church building (0.98)"
The_bridge_collapsed_when_two_men_in_an_asphalt_tr.png,"pier (0.33), dam, dike, dyke (0.26), steel arch bridge (0.08), boathouse (0.06), suspension bridge (0.04)"
A_woman_was_hit_by_a_truck_and_killed__Now_her_gho.png,"stretcher (0.29), barrow, garden cart, lawn cart, wheelbarrow (0.08), park bench (0.03), minivan (0.03), barber chair (0.02)"
On_the_7th_tier_of_the_Denison_University_library_.png,"prison, prison house (0.76), barn (0.03), vault (0.02), bannister, banister, balustrade, balusters, handrail (0.02)"
Metal_Hospital___In_Downey_behind_the_court_house.png,"prison, prison house (0.97)"
Owner__workers_and_guests_at_this_lovely_Victorian.png,"bell cote, bell cot (0.34), restaurant, eating house, eating place, eatery (0.10), beacon, lighthouse, beacon light, pharos (0.09), boathouse (0.08), picket fence, paling (0.07)"
There_is_a_small_place_called_Wagerville__between.png,"picket fence, paling (0.11), palace (0.08), window shade (0.06), window screen (0.05), castle (0.05)"
Ohio_State___There_was_a_student_who_drowned_in_Mi.png,"prison, prison house (0.74), palace (0.09), library (0.05), monastery (0.02)"
Sumiton_Elementary_Middle_School___There_is_a_man.png,"mobile home, manufactured home (0.87), boathouse (0.02)"
The_third_and_fourth_floors_of_the_old_county_hosp.png,"vault (0.76), prison, prison house (0.10), monastery (0.04)"
In_1896_Ceely_Rose_murdered_her_whole_family_with.png,guillotine (0.94)
When_ever_it_s_quiet_in_the_store_you_can_hear_the.png,"prison, prison house (0.21), bookshop, bookstore, bookstall (0.19), sliding door (0.11), vault (0.05), shoji (0.02)"
The_road_to_Cedar_Bog_is_enclosed_on_both_sides_by.png,"suspension bridge (0.42), viaduct (0.10), valley, vale (0.10), maze, labyrinth (0.09), mountain bike, all-terrain bike, off-roader (0.03)"
Gym___The_old_pool_under_the_floor_was_closed_down.png,"prison, prison house (1.00)"
It_is_known_that_there_was_a_man_who_has_shot_hims.png,barn (0.98)
have_been_known_to_close_doors_softly_if_people_le.png,"vault (0.21), prison, prison house (0.13), sliding door (0.04), barbershop (0.04), bookshop, bookstore, bookstall (0.03)"
Hay_Hall___On_the_second_floor__there_have_been_re.png,"prison, prison house (0.35), shoji (0.14), sliding door (0.12), window screen (0.02)"
The_ghost_of_a_young_woman_is_said_to_haunt_the_th.png,"hoopskirt, crinoline (0.18), theater curtain, theatre curtain (0.15), grand piano, grand (0.08), cloak (0.06), guillotine (0.05)"
This_middle_school_is_supposedly_haunted_by_Genera.png,"library (0.48), cinema, movie theater, movie theatre, movie house, picture palace (0.33), planetarium (0.04)"
The_name_or_origin_of_the_ghost_is_not_known_for_s.png,"church, church building (0.26), picket fence, paling (0.12), prison, prison house (0.04), cinema, movie theater, movie theatre, movie house, picture palace (0.04), turnstile (0.03)"
The_state_park_is_a_site_where_there_are_Indian_mo.png,barn (0.95)
NASA_GSFC___B___W_Parkway_Gate____A_man_jogging_ea.png,"library (0.44), planetarium (0.22), flagpole, flagstaff (0.12), cinema, movie theater, movie theatre, movie house, picture palace (0.04), street sign (0.02)"
Ghost_children_come_out_to_play_sometimes_.png,"lab coat, laboratory coat (0.24), abaya (0.16), cloak (0.14), handkerchief, hankie, hanky, hankey (0.04), plastic bag (0.04)"
There_is_a_mansion_set_off_the_road_in_Brunswick_.png,"palace (0.70), castle (0.06), boathouse (0.02)"
This_was_a_mansion_with_an_adjacent_asylum_for_wom.png,"palace (0.48), home theater, home theatre (0.05), monastery (0.05), cinema, movie theater, movie theatre, movie house, picture palace (0.03), entertainment center (0.03)"
There_is_said_to_be_A_teacher_of_music_who_got_kil.png,"umbrella (0.13), crutch (0.07), groom, bridegroom (0.06), tricycle, trike, velocipede (0.06), park bench (0.03)"
Witnesses_report_to_see_some_glowing_grave_stones.png,"birdhouse (0.44), church, church building (0.09), palace (0.03), barn (0.03), picket fence, paling (0.03)"
In_the_pool_area__a_boy_approximately_12_years_old.png,"tub, vat (0.86), bathtub, bathing tub, bath, tub (0.06), swimming trunks, bathing trunks (0.02)"
You_can_hear_voices_at_midnight_on_a_full_moon__Th.png,barn (0.95)
by_the_pond_there_is_an_old_brown_bridge_that_a_gi.png,"boathouse (0.94), lakeside, lakeshore (0.02)"
The_old_mill_was_built_before_the_civil_war__A_man.png,barn (0.95)
is_said_to_be_haunted_by_the_ghost_of_a_former_sec.png,"palace (0.74), castle (0.04)"
tears_flow_from_a_statue__Arrows_on_the_back_of_gr.png,"mask (0.61), totem pole (0.07), book jacket, dust cover, dust jacket, dust wrapper (0.04), pedestal, plinth, footstall (0.03)"
About_20_years_ago__a_lady_died_and_was_buried_in.png,"church, church building (0.55), altar (0.05), throne (0.05), palace (0.03), cinema, movie theater, movie theatre, movie house, picture palace (0.02)"
Believed_to_be_built_on_an_Indian_Burial_grcund_an.png,"barn (0.54), church, church building (0.22), bell cote, bell cot (0.03)"
there_have_been_reports_by_workers_that_you_can_he.png,"barn (0.67), church, church building (0.26)"
In_1993__two_kids_went_swimming___were_killed_by_a.png,"bikini, two-piece (0.51), maillot (0.15), swimming trunks, bathing trunks (0.09), maillot, tank suit (0.04), volleyball (0.02)"
At_night__in_the_cemetery_behind_the_church__an_ap.png,"picket fence, paling (0.35), megalith, megalithic structure (0.19), maze, labyrinth (0.05), worm fence, snake fence, snake-rail fence, Virginia fence (0.04), water bottle (0.02)"
A_little_girl_s_spirit_is_said_to_haunt_King_s_Isl.png,"comic book (0.60), book jacket, dust cover, dust jacket, dust wrapper (0.10), pillow (0.02)"
Something_haunts_the_back_hill_of_this_cemetery__D.png,"church, church building (0.28), library (0.18), palace (0.11), picket fence, paling (0.09), flagpole, flagstaff (0.06)"
Music_Building___There_are_doors_that_open_and_clo.png,"palace (0.72), library (0.06), castle (0.02)"
The_home_of_the_silent_film_star_William_S__Hart_.png,"castle (0.23), palace (0.14), church, church building (0.08), monastery (0.07), picket fence, paling (0.06)"
Strange_voices_have_been_heard____June_2008_Correc.png,"lakeside, lakeshore (0.92), seashore, coast, seacoast, sea-coast (0.02)"
Strange_sounds_are_often_heard_late_at_night_____a.png,"church, church building (0.85), castle (0.04), monastery (0.02)"
A_janitor_died_from_a_heart_attack_in_the_upstairs.png,"sliding door (0.67), prison, prison house (0.03), swab, swob, mop (0.02)"
Believed_to_be_haunted_by_a_lioness__the_sound_of.png,"monastery (0.53), church, church building (0.34), bell cote, bell cot (0.02)"
Beebe_Princess_Hall___Second_Floor___Someone_or_so.png,"boathouse (0.72), palace (0.02)"
Just_off_Highway_43_outside_Northport__the_ghosts.png,"barn (0.90), picket fence, paling (0.02), boathouse (0.02)"
A_girl_attending_the_school_who_killed_herself_in.png,"comic book (0.09), wardrobe, closet, press (0.07), altar (0.06), book jacket, dust cover, dust jacket, dust wrapper (0.04), cloak (0.04)"
Rumor_has_it_that_the_theatre_is_haunted_by_a_spir.png,"lumbermill, sawmill (0.39), marimba, xylophone (0.12), altar (0.05), bow tie, bow-tie, bowtie (0.02), restaurant, eating house, eating place, eatery (0.02)"
Things_in_the_prop_room_move_all_by_themselves__wh.png,"bakery, bakeshop, bakehouse (0.15), restaurant, eating house, eating place, eatery (0.09), lumbermill, sawmill (0.06), wardrobe, closet, press (0.06), crate (0.05)"
Over_15_years_ago__many_reporters_and_people_found.png,"boathouse (0.61), palace (0.06), picket fence, paling (0.06), monastery (0.04), church, church building (0.03)"
It_is_known_for_figures_to_pop_up_and_vanish__And.png,"baboon (0.06), colobus, colobus monkey (0.06), magpie (0.05), fountain (0.05), book jacket, dust cover, dust jacket, dust wrapper (0.05)"
The_Bush_House_is_now_a_Art_gallery_has_a_ghost_fr.png,"triumphal arch (0.29), library (0.24), pedestal, plinth, footstall (0.10), bookshop, bookstore, bookstall (0.07), palace (0.03)"
an_old_house_ranch_from_the1800_s_is_said_to_be_ha.png,barn (0.87)
Across_from_one_of_the_campsites__in_a_wooded_area.png,"mobile home, manufactured home (0.24), lakeside, lakeshore (0.06), park bench (0.05), library (0.05), barn (0.04)"
You_get_the_feeling_all_the_time_that_you_are_bein.png,"prison, prison house (0.86)"
Sometimes_individual_students_see_the_shadow_of_th.png,"jean, blue jean, denim (0.92)"
Apparition_reported_wandering_the_campgrounds_arou.png,"barn (0.79), boathouse (0.10)"
Built_in_1849__the_brick_building_was_the_center_o.png,"palace (0.87), castle (0.03)"
Black_Aggie___the_statue_of_a_woman_over_the_grave.png,"pedestal, plinth, footstall (0.45), vault (0.25), altar (0.06), monastery (0.05), cloak (0.04)"
On_the_entrance_ramp_to_state_route_32_leaving_Bat.png,"triumphal arch (0.67), monastery (0.14), palace (0.03)"
Haunted_by_willmot_Redd_the_first_and_only_witch_d.png,"church, church building (0.89)"
John_Wayne_s_boat_docked_in_Newport_Harbor_is_said.png,"boathouse (0.74), lakeside, lakeshore (0.16), dock, dockage, docking facility (0.02)"
NASA_GSFC___Bldg__05___A_strong_sense_of_dread_in.png,"prison, prison house (0.88)"
There_are_reports_of_a_little_boy_that_appears_in.png,"church, church building (0.84), castle (0.02), palace (0.02)"
when_your_driving_through_the_cemetery_at_night__y.png,"barn (0.40), picket fence, paling (0.32), church, church building (0.06), worm fence, snake fence, snake-rail fence, Virginia fence (0.03)"
Adelaide_Cemetery___Look_for__Charlotte_s_Grave__a.png,"monastery (0.34), church, church building (0.29), vault (0.07), triumphal arch (0.05), altar (0.04)"
Apparently_the_Patterson_s_are_still_there__Staff.png,"boathouse (0.31), greenhouse, nursery, glasshouse (0.18), palace (0.08), book jacket, dust cover, dust jacket, dust wrapper (0.04), church, church building (0.02)"
It_used_to_be_an_old_nursing_home_but_had_been_vac.png,"barn (0.42), monastery (0.30), thresher, thrasher, threshing machine (0.02), alp (0.02)"
In_the_1990_s__a_man_was_robbed_and_thrown_in_the.png,"sweatshirt (0.07), crutch (0.05), marimba, xylophone (0.04), pajama, pyjama, pj's, jammies (0.04), plunger, plumber's helper (0.03)"
Employees_that_go_into_the_basement_feel_like_they.png,"jean, blue jean, denim (0.74), lumbermill, sawmill (0.08), barn (0.03), wardrobe, closet, press (0.02)"
off_138____turn_on_black_rabbit_road_stop_on_cry_b.png,"barn (0.70), church, church building (0.10), monastery (0.02), worm fence, snake fence, snake-rail fence, Virginia fence (0.02)"
A_woman_was_walking_down_the_side_of_Highway_5_nea.png,"prison, prison house (0.68), vault (0.05), crate (0.02), barn (0.02)"
If_you_are_parked_at_the_top_of_the_hill_and_flash.png,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.31), pickup, pickup truck (0.27), church, church building (0.14), car wheel (0.05), cab, hack, taxi, taxicab (0.05)"
Shawnee_State_University___Advance_Technology_Cent.png,"beacon, lighthouse, beacon light, pharos (0.21), church, church building (0.17), dome (0.14), picket fence, paling (0.05), barn (0.04)"
January_2007_Removal_of_false_entry_.png,"greenhouse, nursery, glasshouse (0.49), lumbermill, sawmill (0.06), barbershop (0.05), sliding door (0.04), patio, terrace (0.03)"
Place_D_Armes_Hotel___Guests_have_been_awakened_in.png,"restaurant, eating house, eating place, eatery (0.49), home theater, home theatre (0.06), grand piano, grand (0.06), cinema, movie theater, movie theatre, movie house, picture palace (0.05), pool table, billiard table, snooker table (0.04)"
Before_a_high_school__Birmingham_High_School__name.png,"prison, prison house (0.66), cinema, movie theater, movie theatre, movie house, picture palace (0.07), turnstile (0.03)"
In_the_1960_s__a_roller_coaster_at_Puritas_Amuseme.png,"crane (0.30), radio telescope, radio reflector (0.24), barn (0.07), drilling platform, offshore rig (0.06), solar dish, solar collector, solar furnace (0.03)"
Inside_of_the_school_auditorium_there_seems_to_be.png,"rotisserie (0.57), harmonica, mouth organ, harp, mouth harp (0.05), stage (0.03), upright, upright piano (0.02)"
The_house_was_originally_located_on_the_opposite_s.png,"thatch, thatched roof (0.82)"
There_is_a_young_boy_who_died_there_and_is_seen_pl.png,"barn (0.81), lumbermill, sawmill (0.06)"
It_is_said_that_a_little_girl_died_in_the_auditori.png,"vault (0.10), prison, prison house (0.10), prayer rug, prayer mat (0.08), theater curtain, theatre curtain (0.07), television, television system (0.05)"
