Filename,Caption
Women_in_1950_s_clothing_are_seen_in_the_cemetery.png,a group of people standing in front of a building .
There_is_a_legend_of_an_angel_statue_the_sits_on_t.png,a man in a suit and tie taking a selfie .
In_the_band_room_office_of_Chapmanville_High_the_c.png,a laptop computer sitting on top of a desk .
It_is_said_that_a_ghost_walks_the_tunnel_with_it_s.png,a black and white photo of a person on a laptop .
A_young_man_named_Andrew_who_was_gay_finally_decid.png,a woman holding a teddy bear in her hand .
The_old_River_Station_building_was_a_train_station.png,a train on a track near a building
people_hear_things_when_they_are_cleaning_after_sc.png,a close up of a train on a train track
the_ghost_of_Julie_Stabb_is_seen_on_the_2nd_floor_.png,a group of people standing next to each other .
This_Factory_was_burned_down_twice_in_the_early_19.png,a person on a skateboard on a ramp .
Historical_Red_House___The__Mistress_of_Red_House_.png,a group of people standing next to each other .
Beck_Hall___Apparitions_seen_.png,a group of people standing on top of a lush green field .
About_a_half_block_into_the_woods_off_the_side_of.png,a view of a lake with a boat in the distance .
Atkin_Hall___Atkin_Colby_Hall_is_10_stories_tall_p.png,a tall building with a clock on it
Room_17__is_haunted_by_a_female_ghost_in_what_is_n.png,a pair of scissors sitting on top of a table .
4_different_ghosts_have_been_seen__Lady_in_White_w.png,a close up of a stop sign with a sky background
Sounds_of_a_horse_taking_off_through_the_cemetery.png,a group of people sitting on a park bench .
There_are_lights_in_the_back_corner_of_the_cemeter.png,a birthday cake with a train on it
The_claimed_incidents_began_in_1974_and_lasted_unt.png,a close up of a pair of scissors
a_long_long_time_ago_there_was_a_boy_ice_fishing_o.png,a kite flying in the sky near a building .
behind_this_small_graveyard_on_a_hill_there_is_a_g.png,a sign that is on the side of a building .
It_is_said_that_you_can_hear_her_crying_and_callin.png,a clock on the side of a building .
Witnesses_report_hearing_children_s_screams__and_s.png,a picture of a clock on a wall .
Bulit_over_an_old_coal_mine__footsteps_and_talking.png,a couple of animals that are standing in the grass .
there_was_an_explosion_in_the_mine_that_killed_40.png,a black and white photo of a person on a laptop .
The_dorms_are_known_to_be_haunted___at_night_you_c.png,a close up of a mirror on a wall
If_you_go_to_Moody_s_road_at_night__flash_your_bri.png,a large building with a clock on the front of it .
Most_of_the_occurrences_happen_on_the_elevator_and.png,a close up of a nintendo wii game system
The_building_is_an_old_Hospital__It_is_said_that_m.png,a group of different types of different colored ties .
Reports_of_phantom_cars_chasing_people_.png,a close up of a person holding a skate board
People_have_seen_a__woman__standing_on_Stewart_s_R.png,a black and white photo of a person on a laptop .
Reports_of_flash_lights_stop_working__only_to_work.png,a close up of a remote control on a table
Just_off_Port_Republic_Road_sets_General_Turner_As.png,a building with a sign on the side of it
The_school_has_been_rotting_for_over_20_years_in_t.png,a black and white photo of a person on a laptop .
Thompson_Hall___In_Thompson_Hall__In_the_girls_roo.png,a room with a wooden floor and a large window .
In_the_1800_s_a_woman_was_hung_off_the_side_of_thi.png,a black and white photo of a building
Pictures_have_been_taken_at_night__and_mysterious.png,a red fire hydrant sitting in front of a building .
Reports_of_hearing_small_children_s_voices_laughin.png,a close up of a train on a train track
Tall_dark_and_handsome___If_you_drive_down_Elizavi.png,a red fire hydrant in front of a building .
There_is_the_remains_of_an_old_bridge_connecting_t.png,a large building with a clock on the front of it .
One_of_the_apartments___Things_such_as_the_shower.png,a living room with a couch and a table
Late_at_night_near_the_juice_bar_of_the_club__you.png,a group of people standing on top of a lush green field .
Crossroads_cemetery___noises_and_faint_moving_ligh.png,a mirror with a reflection of a mirror
There_is_an_old_woman_that_sits_in_auditorium_numb.png,a man is standing in front of a window
Lutheran_Holmes_now_a_nursing_home_use_to_be_an_or.png,a red and white bus parked in front of a building .
basically_the_story_about_these_tracks_is_that_a_m.png,a close up of a pair of scissors
The_land_that_the_Moose_now_stands_on_was_the_prev.png,a collage of photos with a sign on the wall
Has_known_to_have_a_ghost_in_an_upstairs_room_and.png,a group of people standing next to each other .
It_was_a_military_base_in_WWI_and_a_TB_hospital_du.png,a street sign on a pole on a city street
On_tunnel_mill_road_the_bridge_by_a_poor_bum_that.png,a train traveling over a bridge over a river .
this_old_resort_which_is_said_to_be_haunted_by_a_b.png,a large building with a clock on it
Bed_and_Breakfast___reports_of_visitors_feeling_a.png,a bedroom with a bed and a dresser
Some_times_you_will_be_walking_past_the_old_hospit.png,a picture of a person with a laptop .
the_first_murder_in_Mundelein_took_place_in_this_h.png,a close up of a number of signs on a building
On_certain_nights__some_have_seen_a_man_s_torso_fl.png,a black and white photo of a person on a laptop .
This_cemetery__with_headstones_dating_back_to_the.png,a group of people standing next to a fire hydrant .
inside_the_school_you_can_see_a_shadow_of_a_person.png,a black and white photo of a person on a laptop .
A_helicopter_crash_left_large_chunks_of_metal_from.png,a man standing in front of a train station .
Old_white_house_around_the_point__Several_odd_vapo.png,a red brick building with a clock tower .
Fremd_High_School_Pool___In_the_1970_s_a_girl_drow.png,a bunch of different colored vases on display
If_you_walk_from_Weirwood_to_the_Pax_City_Hall_at.png,a man flying a kite in a blue sky .
There_is_a_stream_behind_the_park_that_has_some_od.png,a close up of a book on a bed
back_in_the_early_1900_s_the_state_wanted_to_build.png,a black and white photo of a clock tower .
There_is_a_weird_woman_and_man_on_the_top_floor__y.png,a large building with a clock on it .
Near_the_same_spot_where_the_old_man_may_be_seen_w.png,a close up of a person holding a frisbee
The_spirit_of_a_woman_is_often_seen_pacing_along_t.png,a black and white photo of a person on a laptop .
supposedly_a_couple_was_murdered_here__and_at_midn.png,a fire hydrant on the side of the street .
At_the_Fox_River_Front_there_is_a_dam__Many_people.png,a group of people riding on the backs of horses .
There_is_a_mansion_a_little_bit_further_down_the_r.png,a clock tower in the middle of a city .
They_say_if_you_park_your_car_on_the_tracks_and_pu.png,a black and white photo of a person on a laptop .
In_1926_the_body_of_22_yr_old_Sylvia_Gaines_was_fo.png,a large building with a clock on it .
drive_along_the_graves_through_the_old_fence_stop.png,a red and white fire hydrant sitting next to a fence .
Located_in_the_center_of_town__the_theatre_is_most.png,a group of people standing in front of a tv .
immediately_adjacent_to_the_Wetlands__also_known_a.png,a black and white photo of a park bench
The_ghost_of_a_young_woman_haunts_the_inn_believed.png,a man holding a frisbee in his hands .
Signal_Hill_Hospital___Once_used_as_a_hospital_for.png,a large building with a clock tower in the middle of it .
Bud_Mountain___at_the_bottom_of_the_mountain_on_a.png,a group of people standing next to each other .
In_the_very_small_town_of_Silvana__high_up_on_a_hi.png,a kite flying in the air over a body of water
Troll_Bridge___This_bridge_is_right_down_the_road.png,a view of a bridge over a body of water .
The_cemetery_gates_are_never_locked__so_entry_is_e.png,a man sitting on a bench in a park .
It_is_said_that_if_you_go_out_there_you_will_see_a.png,a black and white photo of a person on a laptop .
the_ghost_of__Mrs__M__appears_at_the_bar_.png,a man is holding a skateboard in his hand .
Sometimes_Indians_can_be_seen_next_to_the_creek__a.png,a vase with flowers in it sitting on a table .
Apparition_of_3_men_crossing_the_road_in_robes_the.png,a parking meter sitting on the side of a road .
Gazebo___A_small_gazebo_bordering_the_campus_lake.png,a large clock mounted to the side of a building .
This_is_a_road_in_pike_county_where_an_old_hermit.png,a close up of a clock on a table
There_are_four_or_five_graves_that_are_abandoned_i.png,a picture of a sign that reads `` <UNK> '' .
The_White_House___Blood_sprayed_all_over_the_walls.png,a tv sitting on top of a wooden dresser .
City_Hall___A_heavyset_man_reportedly_sits_in_the.png,a clock that is on the side of a building .
If_you_go_there__there_is_a_spat_where_there_are_f.png,a black and white photo of a person on a laptop .
The_old_Knox_County_Jawas_purchased_by_Knox_Colleg.png,a black and white photo of a pair of shoes
Eagle_City_Park___There_are_people_that_go_to_the.png,a red and white fire hydrant sitting in the middle of a field .
East_Main_St____It_has_been_said_by_the_employees.png,a group of people standing in front of a building .
At_dusk_shadows_of_people_dressed_in_white_appear.png,a picture of a television screen with a clock on it .
Back_in_the_1930_s_when_the_Academy_was_used_as_a.png,a black and white photo of a clock on a building .
West_Seattle___Rite_Aid_used_to_be_a_mining_place.png,a man holding a frisbee in his hand .
former_funeral_home___A_Ft_Wayne_based_hospital_bo.png,"a room with a bed , a table and a chair ."
Back_in_the_hey_day__Cambridge_was_quite_the_happe.png,a clock on the wall of a building .
Glowing_orbs_are_seen_from_the_road__and_a_phantom.png,a close up of a nintendo wii remote
you_walk_in_to_the_woods_in_the_Bachelors_wood_s_a.png,a group of people standing next to each other .
Building_A___They_have_even_been_herd_walking_up_t.png,a group of people standing next to each other .
This_school_is_buried_on_an_Indian_burial_ground_f.png,a group of people standing in front of a building .
At_night_you_hear_the_dead_librarian_saying__pleas.png,a black and white photo of a person on a laptop .
On_this_road__a_young_couple_was_driving_home_from.png,a person riding a skate board on a rail
This_cemetery_is_home_of_the__Black_Angel___Dodge_.png,a pair of scissors sitting on top of a table .
It_is_believed_that_Carroll_High_School_is_cursed.png,a television is on a stand in a room .
They_say_if_you_look_into_the_well_you_can_hear_sc.png,a group of people standing next to each other .
Documentation_of_patients_being_tortured_in_the_tu.png,a man wearing a hat and holding a baseball bat .
In_the_upstairs_floor_of_the_gym_building_that_is.png,a close up of a person holding a pair of scissors
It_is_said_that_about_20_years_ago__there_was_a_co.png,a black and white photo of a person on a laptop .
By_the_lunch_room_there_is_a_nun_that_is_sometimes.png,a group of people standing next to each other .
The_hotel_is_an_atrium_style_hotel_with_11_floors_.png,a couple of people standing next to each other .
There_is_an_old_house_sitting_on_the_north___east.png,a large building with a clock on it .
Rooms_with_moving_objects__call_lights_going_on_an.png,a bathroom with a toilet and a shower .
The_Haunted_Jail__the_ghost_of_a_murderer_is_said.png,a cake shaped like a teddy bear on a table .
This_facility_was_once_one_of_the_most_violent_jai.png,a train car with a train on the tracks
An_Indian_cursed_Kaskaskia_in_1735_right_before_he.png,a clock tower in the middle of a city .
It_was_once_said_that_in_the_basement_of_the_schoo.png,a black and white photo of a person on a laptop .
There_was_a_woman_in_a_white_dress_that_got_thrown.png,a room filled with lots of different types of luggage .
Two_students_have_reported_seeing_a_knife_in_the_g.png,a large colorful bird sitting on top of a red chair .
Though_it_is_unsure_what_haunts_the_water_treatmen.png,a black and white photo of a person on a laptop .
The_ghost_of_the_original_owner_has_been_seen_by_m.png,a large building with a clock on it .
Reports_that_at_night_the_lights_go_on_and_off_in.png,a black and white photo of a person on a laptop .
15_years_ago_a_young_man_was_playing_basketball_in.png,a person is sitting on a bench in a park .
a_story_of_a_lady_in_white_that_is_in_this_place_a.png,a white vase filled with flowers on top of a table .
A_glowing_entity_has_been_seen_in_the_library_of_t.png,a display case filled with lots of different types of cakes .
A_young_women_will_appear_in_the_corn_field_and_yo.png,a black and white photo of a person on a laptop .
formerly_Big_Boy_s_restaurant___in_Carpentersville.png,a bunch of suitcases that are stacked together .
screams_and_white_blurs_of_light_heard_and_seen__E.png,a close up of a computer keyboard on a desk .
1_Woman_with_washboard_and_tub__The_closer_you_get.png,a black and white photo of a person on a laptop .
Sightings_of_a_woman_and_child_standing_together_i.png,a clock tower in the middle of a city .
On_several_occasions_the_face_of_a_dead_nun_has_be.png,a close up of a person holding a cell phone
The_building_is_Haunted_there_is_some_activity_tha.png,a group of people sitting at a table in front of a building .
There_are_reports_of_items_being_moved_from_one_pl.png,a black and white photo of a person on a laptop .
a_man_pacing_and_a_woman_screaming_in_pain_are_hea.png,a close up of a stuffed animal on the ground
the_headless_ghost_of_Van_Meter_searches_for_his_l.png,a close up of a tv on a table
There_are_many_legends_about_Mars_Hill__a_church_a.png,a black and white photo of a person on a laptop .
Dam_Neck_Naval_Base___December_of_1999__on_the_Dam.png,a large bridge spanning the width of a river .
In_the_early_1900_s__a_house_stood_in_the_place_wh.png,a close up of a soccer ball on a field
In_the_cemetery__you_sometimes_see_white_or_gray_p.png,a couple of chairs sitting next to each other .
An_old_church_stands_at_the_front_of_the_cemetery_.png,a church with a clock on the top of it .
Antioch_Cemetery___Reparts_of_seeing_a_man_dressed.png,a statue of a man sitting on a bench .
Its_an_old_library_that_was_once_the_town_first_po.png,a tall brick building with a clock on it 's side .
There_is_an_old_slaughterhouse_on_Olson_Road_betwe.png,a red stop sign sitting on the side of a road .
This_camp_use_to_be_an_orphanage__It_is_said_that.png,a black and white photo of a person on a laptop .
There_is_a_bridge_down_this_road_with_a_train_trac.png,a black and white photo of a person on a laptop .
Witnesses_claim_to_have_Caught_many_things_on_film.png,a person is holding a pair of scissors
About_80_years_ago__there_was_a_rowdy_dance_hall_a.png,a group of people standing next to each other .
A_ghost_of_a_father_looking_for_the_head_of_his_da.png,a group of stuffed animals sitting on top of a table .
Occasional_sightings_of_a_woman_figure_have_been_s.png,a building with a large clock on it .
In_the_early_1900_s_stood_a_two_room_asylum_for_th.png,a pair of scissors sitting on top of a table .
As_the_oldest_continuously_operating_Tavern_In_the.png,a red brick building with a clock on it .
a_ghost_name__George___haunts_the_classrooms__door.png,a red and white double decker bus on a street .
Right_off_of_83_there_is_this_massive_gothic_looki.png,a group of people standing in front of a window .
The_Lily_Library____is_said_to_be_haunted_.png,a group of people standing in front of a building .
Le_Mans_hall___the_bell_tower___there_is_seen_to_b.png,a large clock mounted to the side of a building .
A_long_time_ago_this_building_use_to_be_a_morgue_.png,a building with a clock on the front of it .
Update__Burned_down___The_beaker_house_is_very_wel.png,a red and white bus parked in front of a building .
In_the_Auditorium__there_is_said_to_be_a_woman_who.png,a row of wooden benches sitting on top of a beach .
The_ghost_of_a_nurse__seemingly_still_going_about.png,a picture of a sign that says <UNK> .
the_road_is_haunted_by_little_kids_that_has_starve.png,a group of people standing next to each other .
Workers_report_cold_spots__hearing_foot_steps_walk.png,a picture of a man in a suit and tie .
There_has_been_reports_of_a_dark_shadowy_figure_wi.png,a building that has a sign on it
Weird_noises_and_figures_and_a_woman_screaming_the.png,a picture of a person holding a wii remote .
Irvington_is_a_town_in_Indiana__It_was_founded_som.png,a birthday cake with a train on it
Well_a_while_back_an_Amish_man_got_hit_by_a_car__S.png,a black and white photo of a bird flying in the sky .
This_is_an_abandoned_ghost_town_where_strange_thin.png,a train is on the tracks near a building .
Inside_the_Warren_Park_administration_building_on.png,a living room filled with furniture and a flat screen tv .
If_you_go_there_at_night__there_is_a_small_patch_o.png,a black and white photo of a person on a laptop .
The_Guyer_Opera_House_has_already_been_added_to_yo.png,a group of people standing next to each other .
Witnesses_report__noises__strange_feelings_and_bei.png,a group of different types of ties on display .
There_is_a_grave_where_in_the_way_back_that_is_not.png,a picture of a clock on a wall .
Fraternity_house___A_girl_was_said_to_have_died_in.png,a picture of a person in a room .
on_a_road_just_out_of_Rensselaer__there_are_two_ce.png,a black and white photo of a person on a laptop .
When_you_are_driving_East_on_173rd_there_are_two_b.png,a group of people walking through a forest .
walking_slaves__eerie_sounds___This_old_mansion_us.png,a man holding a tennis racket in his hands .
the_grave_of_the_first_settler_in_New_Virginia_is.png,a cake shaped like a train is on a table .
A_new_711_is_built_on_an_old_cemetery__the_workers.png,a large clock on the side of a building .
Liesure_Bench__a_private_memorial_built_by_the_Lei.png,a wooden bench sitting in the middle of a field .
Many_of_the_employees_have_seen_an_older_man_in_th.png,a black and white photo of a person on a laptop .
Believed_to_be_haunted_by_the_family_that_was_murd.png,a white and black fire hydrant sitting on top of a table .
The_old_cemetery_used_be_located_there__and_when_t.png,a close up of a cake on a table
There_is_a_ghost_named__Percy__that_haunts_the_cos.png,a stop sign with graffiti on it .
The_Dodge_House_was_owned_by_General_Dodge_and_his.png,a large building with a clock on it .
Rumor_has_it_that_one_night_a_janitor_was_cleaning.png,a close up of a pair of scissors
This_old_abandoned_cheese_factory__has_been_known.png,a picture of a christmas tree in a living room .
There_are_many_stories_that_deal_with_murder_about.png,a group of people sitting on top of a red bench .
Reports_of_different_residents_hearing_men_having.png,a man holding a tennis racquet on a tennis court .
Cromwell_Hall___a_white_cross_under_the_window_is.png,a group of people standing next to each other .
A_while_back_in_the_day_there_was_a_shoot_out_at_t.png,a red fire hydrant in front of a brick building .
strange_noises_and_a_man_in_a_black_cape_accompani.png,a man is holding a surfboard in his hand .
feelings_of_not_being_alone_and_anomalies_showing.png,a group of people standing next to each other .
In_these_woods_behind_the_old_white_farm_there_hav.png,a herd of sheep grazing on a lush green field .
Crane_Cemetery_down_the_road_from_the_abandoned_Cr.png,a close up of a nintendo wii console
There_once_was_a_motel_on_this_sight__The_people_t.png,a building with a clock on top of it .
some_have_said_to_have_seen_a_headless_ghost_walki.png,a black and white photo of a person on a laptop .
Warehouses___Late_night_security_have_reports_of_r.png,a view of a bunch of seats in a restaurant .
It_has_been_told_that_before_the_property_became_a.png,a group of people standing in front of a building .
It_is_said_that_a_lady_walking_her_dog_down_the_tr.png,a man standing on a beach holding a surfboard .
stories_of_young_boy_looking_out_the_attic_window_.png,a clock on a wall next to a window .
Boehne_Camp_Hospital___This_is_an_old_abandoned_tu.png,a person on a skateboard doing a trick .
This_area_was_owned_by_a_wealthy_lady_from_the_ear.png,a group of people standing next to each other .
Eyewitnesses_report_many_strange_activities_in_Hal.png,a bunch of different colored ties on a table .
Char_s_House_of_Oak_MI.png,a red stop sign sitting on the side of a road .
The_building_was_originally_built_around_1915_as_a.png,a black and white photo of a bathroom
This_place_is_messed_up__late_at_night_when_the_mo.png,a view of a clock tower in a room .
go_to_the_picnic_area__from_time_to_time_a_spirit.png,a picture of a tv screen with a clock on it .
Sounds_reported_of_a_drowning_boy_slashing_and_scr.png,a black and white photo of a person on a laptop .
Nelson_Residence___Reported_in_the_local_paper___T.png,a group of people standing next to a train .
Numerous_cold_spots_all_over_the_old_hotel_and_TV_.png,a red fire hydrant in front of a building .
is_also_known_as_rocking_chair_or_Hiawatha_is_outs.png,a group of people standing around a soccer ball .
Many_years_ago_when_the_apartments_were_first_buil.png,a train on a train track with lights on
In_2003_a_man_jumped_off_the_top_escalator_to_fall.png,a picture of a person holding a surfboard .
This_site_is_where_hangings_took_place__The_tree_.png,a room filled with lots of different types of luggage .
Part_of_the_old_under_ground_rail_road_near_the_Wa.png,a train traveling down tracks next to a forest .
Aquinas_Hall___supposedly_the_site_of_an_exorcism_.png,a statue of a man holding a teddy bear .
This_building_is_built_almost_directly_over_an_old.png,a large building with a clock on it .
Fires_and_figures_in_cloaks_can_be_seen_and_heard.png,a large clock mounted to the side of a wall .
well_legend_tells_that_a_man_who_lived_in_Poland_.png,a person on a beach flying a kite .
In_this_cemetery_are_2_ghosts__They_are_supposedly.png,a row of white toilets sitting next to each other .
This_building_used_to_be_a_mental_heath_hospital_.png,a red fire hydrant in front of a house .
Shopping_Center___Right_on_the_northeast_corner_of.png,a clock that is on top of a wall .
apparitions_are_said_to_appear_but_not_confirmed_.png,a black and white photo of a person on a laptop .
One_mile_south_of_Parkersburg__is_a_small_farming.png,a large church with a clock tower on top of it .
Kate_Shelly_was_famous_for_saving_a_train_from_goi.png,a clock on the wall of a building
People_just_recently_reported_that_when_they_were.png,a black and white photo of a person on a laptop .
In_one_photograph_at_the_altar__a_white_orb_is_spo.png,a black and white photo of a person on a laptop .
Workers_claim_to_hear_whispers_and_see_apparitions.png,a display of different types of clocks on display .
In_the_early_1920s_there_was_a_prohibition_and_thi.png,a picture of a baseball player with a baseball bat .
West_of_Ashmore___Ashmore_Estates_was_an_old_insan.png,a view of a mountain from a window .
In_the_education_building_which_is_one_of_the_olde.png,a black and white photo of a person on a laptop .
The_New_Mexico_Military_Institute_does_not_use_the.png,a large building with a clock on the front of it .
Home_to_several_ghosts__Many_are_linked_to_the_Civ.png,a boat floating on a river next to a tall building .
dead_passengers_and_flight_attendants_pilots__An_A.png,a close up of a clock on a table
no_matter_what_time_of_day_you_go_there_there_is_a.png,a black and white photo of a person holding a tennis racket
The_legend_is_that_if_you_go_up_to_the_Tomb_and_ru.png,a group of people standing next to each other .
Reports_of_a_glowing_shape_walking_through_the_cem.png,a wooden bench sitting in the middle of a field .
Red__green__and_white_glowing_balls_of_light_have.png,a red fire hydrant sitting on the side of a road .
There_have_been_sightings_of_a_little_boy_running.png,a black and white photo of a person on a laptop .
Some_flight_attendants_and_pilots_who_stay_at_the.png,a group of people standing next to a train .
Guests_and_staff_report_the_sounds_of_writing_in_h.png,a large building with a clock on it
Cold_chills_have_been_felt_behind_the_curtains_bef.png,a bathroom with a sink and a mirror
There_is_a_mental_hospital_called_Graydon_Manor__B.png,a red stop sign sitting on the side of a road .
The_story_goes_that_a_German_janitor_was_locked_in.png,a black and white photo of a person on a laptop .
In_the_gym_at_night_you_can_hear_childrens_voices_.png,a black and white photo of a person on a laptop .
There_was_a_girl_who_was_swinging_on_a_swing_at_Je.png,a birthday cake with a train on it
There_is_a_statue_of_an_angel_over_the_grave_of_Mi.png,a statue of a man standing next to a clock tower .
Republican___Working_at_night_in_the_old_newspaper.png,a group of people standing next to each other .
This_bar_restaurant_is_located_in_a_resort_lake_ar.png,a close up of a bench near a window
Fort_Bayard_Medical_Center_has_been_around_since_t.png,a red and white train on a train track
Mainly_occurs_in_the_balcony_of_the_auditorium__Un.png,a black and white photo of a boat on a beach
There_are_several_hauntings_and_ghosts_in_this_hol.png,a man is doing a trick on a skateboard
Circus_Train___In_the_1920_s_or_1930_s_the_big_top.png,a close up of a pair of scissors
It_is_said_that_if_you_walk_into_the_graveyard_at.png,a school bus is parked in a parking lot .
There_is_a_road_that_the_locals_all_call_Devils_El.png,a close up of a stop sign with a sky background
This_is_now_a_movie_theater_but_used_to_be_a_meeti.png,a man is standing in front of a large clock .
The_original_house_belonging_to_Chief_Richardsvill.png,a large building with a clock on it .
It_is_said_in_an_old_cemetery_in_this_town_that_a.png,a red and white birthday cake with candles on it .
There_are_two_bedrooms_upstairs__The_bedroom_to_th.png,a picture of a train on a train track .
Old_factory_in_the_desert__you_can_hear_screams_fr.png,a clock on the wall of a building .
It_has_been_said_that_if_you_drive_down_Devils_Bac.png,a black and white photo of a person on a laptop .
University_Hall___It_is_the_oldest_building_on_cam.png,a large building with a clock on it
a_grave_sight_of_a_young_girl_that_omits_the_smell.png,a black and white photo of a person on a laptop .
This_woods_used_to_have_a_road_go_through_it_and_a.png,a black and white photo of a vase with flowers .
If_your_walking_around_in_the_auditorium_with_two.png,a large metal clock sitting on top of a table .
The_Capitol_Music_Hall__dtwn_Wheeling_has_been_aro.png,a large clock mounted to the side of a building .
_Albuquerque___The_Aroyro____el_Yorone__the_crier.png,a black and white photo of a person on a laptop .
Reports_of_the_sound_of_army_cadence__Sounds_belie.png,a row of wooden benches sitting next to each other .
The_old_stagecoach_house_and_stables_near_Coffins.png,a large building with a wooden fence and a clock .
Well_there_has_been_many_reports_of_people_seeing.png,a red double decker bus driving down a street .
Believed_to_be_haunted_by_a_student_that_committed.png,a group of people sitting on a boat .
Hamilton_Middle_School_is_a_very_haunted_school_an.png,a close up of a pair of scissors
Workers_claim_to_have_seen_black_shadows_on_the_ca.png,a large truck is parked on the street .
If_you_are_in_the_building_at_night_you_can_see_we.png,a large building with a clock tower on top .
Built_in_1900and_once_attended_by_Robert_Wadlow__T.png,a group of people sitting on top of a wooden bench .
Suppose_to_be_a_religious_order_that_if_you_try_to.png,a man is standing in front of a building
It_is_said_that_the_ghosts_of_a_student_and_a_teac.png,a large building with a clock on it .
On_this_road_are_many_stories__The_stories_begin_w.png,a large elephant standing next to a fence .
This_home_was_built_in_the_mid_1800_s_by_a_couple.png,a white house with a house in the background .
Numerous_flash_lights_going_off_and_not_working_at.png,a group of people standing next to each other .
It_is_said_that_a_janitor_got_stuck_in_the_boiler.png,a black and white photo of a person on a laptop .
A_female_spirit_has_been_seen_walking_through_the.png,a bathroom with a toilet and a shower .
Different_sightings_has_been_reported_about_seeing.png,a group of people standing next to each other .
A_painting_over_the_alter_has_been_said_to_bleed_.png,a close up of a cake on a table
A_ghost_of_a_man_has_been_reported_their_many_time.png,a red and white fire hydrant sitting next to a wall .
In_the_main_house__an_angry__disheveled__dark_hair.png,a black and white photo of a person on a laptop .
Geary_Student_Union___Feelings_of_not_being_alone.png,a group of people standing on top of a train .
Fort_Wingate_which_is_just_due_east_of_Gallup__onc.png,a group of cows grazing in a field .
Formerly_the_Valley_Doubletree___A_woman_and_her_t.png,a bedroom with a bed and a desk
reports_of_an_apparition_of_a_man_with_a_lantern_w.png,a stove top oven sitting on top of a counter .
If_you_go_to_the_trestle_in_Saint_Paul_you_will_he.png,a red and white train traveling through a park .
A_report_of_a_headless_man_walking_around_the_ceme.png,a black and white photo of a man in a suit and tie
_208___An_employee_reports_a_guest_coming_downstai.png,a black and white photo of a person on a laptop .
There_are_caves_at_mossy_glen__it_is_rumored_that.png,a close up of a luggage bag on a train
it_is_on_the_way_to_Pendleton__legend_was_that_a_w.png,a blue and white train traveling down train tracks .
about_5_years_ago_3_teachers_died_but_no_students.png,a display case with a clock on top of it .
years_ago_this_place_was_a_school_house_for_little.png,a picture of a christmas tree in a room .
A_long_time_ago_there_were_two_teenage_boys_who_ha.png,a black and white photo of a person on a laptop .
Reports_of_hearing_footsteps_following_along_side.png,a black and white photo of a person on a laptop .
Old_principal_walking_down_the_stairs_gym_basement.png,a man is standing in front of a building .
Doors_have_been_known_to_open_and_close_and_images.png,a cat sitting in front of a window .
