Filename,Caption
At_night_there_over_by_the_playground_down_by_the.png,a parking meter in the middle of a street .
The_old_high_school_is_fixed_up_and_serves_a_diffe.png,a black and white photo of a living room
A__ghost__inhabits_the_basement___cellar__often_ca.png,a black and white photo of a man sitting on a bench .
Hunt_Valley_Town_Center___Several_Co_workers_of_mi.png,a building with a clock on the side of it
Davidge_Hall____Davidge_Hall_has_been_host_to_many.png,a brick building with a fire hydrant on the side of it .
Newcomb_Hall___Years_ago__a_student_who_had_been_h.png,a red fire hydrant sitting in front of a brick building .
In_the_late_1800s_the_San_Jacinto_Valley__Hemet__.png,a lush green field with animals grazing on it .
ComedySportz_is_haunted_by_an_unknown_female_entit.png,a woman standing in front of a tv holding a wii controller .
A_stairway_is_haunted_in_the_kitchen_area_off_the.png,a large clock mounted to the side of a wall .
Mansion___This_massive_mansion_directly_across_the.png,a large building with a clock on the front .
Believed_to_be_haunted_by_girl_who_was_abducted__k.png,a black and white photo of a park bench
This_is_a_bed_and_breakfast_place_right_now__a_man.png,a building with a clock on the side of it .
This_museum_is_claimed_to_be_haunted_by_several_sp.png,a bathroom with a sink and a mirror
Medical_Center____This_building_used_to_house_a_mo.png,a man standing in a kitchen next to a window .
There_are_a_number_of_different_experiences__inclu.png,a woman standing in front of a mirror in a bathroom .
The_narrow_bridge_in_the_middle_of_the_road____bac.png,a person riding a skate board on a city street
An_abandoned_sanitarium_which_later_was_used_for_t.png,a black and white photo of a man in a bathroom
October_2007_Warning__as_with_every_haunted_place.png,a red stop sign sitting on the side of a road .
Some_people_say_that_a_school_bus_full_a_kids_fell.png,a black and white photo of a train
You_can_go_up_to_the_gates_in_the_middle_of_winter.png,a black and white photo of a fire hydrant
Cold_spots_in_the_women_s_bathroom_by_one_of_the_e.png,a black and white photo of a bathroom .
In_Basile_High_School_s_old_gym_there_has_been_see.png,a woman is walking down the street with a suitcase .
When_you_park_your_car_at_the_bottom_of_the_hill_a.png,a view of a street from the side of a vehicle .
Basement_of_Mausoleum_four_slabs_of_marble_create.png,a black and white photo of a bathroom
Sudden_drafts_of_cold_air_when_windows_are_shut__s.png,a black and white photo of a vase with flowers in it .
Reports_of_a_burning_man_.png,a man standing on a beach holding a surfboard .
The_old_church_on_the_north_side_of_Bangor_St__has.png,a large building with a clock on the top .
This_is_a_cemetery_on_an_old_back_road_called_ceme.png,a black and white photo of a park bench
The_original_Paso_Robles_Inn_caught_on_fire_many_y.png,a black and white photo of a building with a clock tower .
It_was_said_that_a_high_school_graduate_from_Hayde.png,a young girl is holding a teddy bear .
the_road_to_the_graveyard_is_about_2_miles_long_an.png,a fire hydrant in the middle of a forest .
Is_said_to_be_haunted_by_a_witch__When_you_find_a.png,a black and white photo of a bedroom
When_you_have_your_car_to_where_you_are_about_to_g.png,a black and white photo of a car and a truck
Students_believe_the_fourth_floor_is_haunted_becau.png,a black and white photo of a man sitting on a bench .
This_science_museum_was_shut_down_in_the_early_90_.png,a black and white photo of a city street
Scary_Dairy_is_located_near_California_State_Unive.png,a black and white photo of a park bench
A_long_time_ago_there_was_a_wreck_at__cry_baby__br.png,a black and white photo of a horse in a field
There_are_several_spirits_here__One_is_an_older__h.png,a row of wooden park benches sitting next to each other .
Just_drive_up_and_down_this_road_at_night_and_you.png,a man riding a skateboard down a street .
On_Old_Santa_Cruz_highway__going_toward_Los_Gatos_.png,a person riding a motorcycle down a street .
The_Wendy_is_haunted_by_several_different_ghosts_.png,a black and white photo of a cat looking out a window .
Pictures_have_been_taken_of_ghosts_looking_in_from.png,a black and white photo of a living room .
There_is_a_story_that_in_the_late_1800_s_or_early.png,an old black and white photo of a train
Believed_to_be_haunted_by_a_woman_and_child__A_bou.png,a black and white photo of a woman holding a teddy bear .
a_19th_Century_Victorian_mansion__in_the_woods__fa.png,a black and white photo of an old church .
The_Avilas_House___The_Avilas_House_is_an_old_mans.png,a tall building with a clock on top of it .
A_ghost_named__Billy__is_believed_to_haunt_the_sch.png,a black and white photo of a bathroom
many_a_times_people_have_reported_sounds_of_mooing.png,a black and white photo of a sheep in a field .
One_night_in_1974__a_girl_was_raped_and_murdered_i.png,a woman is taking a picture of herself in the mirror .
Locals_rumor_that_there_is_an_old_white_church_hou.png,a large building with a clock tower on top .
building_is_now_abandoned_from_bankruptcy__Reports.png,a building with a clock on the top of it .
Galloway_Hall___Rumor_has_it_that_a_ghost_of_a_you.png,a black and white photo of a building with a clock tower .
The_witches__grave_is_haunted_by_the_witch_that_wa.png,a black and white photo of a woman sitting on a bench .
The_Korean_owner_of_this_place_was_killed_by_Chine.png,a room with a window and a window
a_transparent_skull_appeared_floating_above_a_star.png,a close up of a person holding a cell phone
Hillside_Dorm___This_building_has_a_long_history_.png,a tall building with a clock on it .
An_old_mission_hospital_built_on_the_outskirts_of.png,a building with a clock on the top of it .
Correction_officers_have_seen_spirits_of_inmates_i.png,a black and white photo of a train
In_the_women_s_bathroom_in_building_3_there_is_the.png,a woman standing in front of a mirror in a bathroom .
There_are_two_ghosts_of_Byng_Auditorium__1__A_litt.png,a bed sitting in a room next to a window .
A_glowing_light_that_flickers_very_rapidly__bounce.png,a black and white photo of a tree in the snow .
There_is_a_legend_that_there_is_a_graveyard_under.png,an aerial view of a city street at night .
Bonita_rd___Reports_of_an_older_man_appears_in_the.png,a lone giraffe standing on a dirt road .
The_canals_of_the_Imperial_Valley_are_said_to_be_t.png,a black and white photo of a woman and a baby
Proctor_Valley_Road___Haunted_by_a_ghostly_figure.png,a group of people riding skis down a snow covered slope .
Several_visitors_to_the_vortex_have_seen_John_List.png,a red fire hydrant in front of a house .
4_Peaks_has_a_cage_in_the_back__where_they_store_s.png,a wooden bench in front of a building .
A_woman_by_the_name_of_Aunt_Jeannie_Johnson_lived.png,a black and white photo of a fire hydrant
Legend_has_it_that_old_man_Tucker_went_insane_one.png,a building with a clock tower in the background .
Waitresses_have_seen_a_little_girl_with_long_hair.png,a group of people sitting around a table .
Many_stories_have_been_told_of_a_strange_dark_hood.png,a fire hydrant in the middle of a field .
the_ghosts_of_some_of_the_100_s_of_people_she_and.png,a black and white photo of a man and a woman
Events_include_someone_whispering_your_name__feeli.png,a statue of a man in a suit and tie
When_you_go_down_The_Canyon_road_you_will_find_an.png,a black and white photo of a train on a track .
Arvin_Mortuary___There_s_a_ghost_in_the_mortuary_t.png,a black and white photo of a bathroom
Pleasant_Hall____Formerly_a_women_s_dormitory__now.png,a black and white photo of a brick building
this_old_park_known_to_a_lot_of_people_is_known_fo.png,a close up of a vase with flowers in it
People_seen_walking_the_streets_on_horseback_and_t.png,a black and white photo of a horse in a field .
lights_at_night__a_woman_standing_in_the_window__a.png,a clock on a wall in a room
West_Campus_Ole_Main___A_popular_football_player_d.png,a room filled with lots of furniture and a tv .
The_plantation_house_was_used_for_a_civil_war_hosp.png,a building with a clock on top of it .
once__back_in_the_late_1800_s_the_place_where_the.png,a black and white photo of a building with a clock
there_is_said_to_be_a_glowing_head_stone_in_the_ce.png,a book and a book on a table .
The_ghost_is_of_the_owner_who_was_accidentally_kil.png,a man sitting at a table with a cake .
There_are_2_ghosts_that_haunt_this_building__A_wom.png,a clock tower in the middle of a city .
Faces_seen_around_house_and_inside_house__voices_o.png,a black and white photo of a cat in a window
There_is_a_tombstone_in_Rocky_Hill_Cemetery_that_b.png,a sign that is on top of a pole .
Was_once_a_College_of_the_Performing_Arts__and_it.png,a large clock mounted to the side of a building .
This_school_is_haunted_by_a_former_student_who_die.png,a group of people standing in front of a building .
A_girl_was_killed_by_another_student_in_the_gym_an.png,a man standing on a tennis court holding a racquet .
Shear_Hall_the_dormitory__football_dorms__there_is.png,a building with a clock on the side of it
NASA_GSFC___Bldg__11___feel_as_if_someone_is_watch.png,a view of a train station with a train passing by .
Reportedly_you_can_hear_people_talking_when_there.png,a window that is in a room with a window .
Highway_810___Down_highway_810__there_is_an_old_re.png,a red and white fire hydrant sitting in the middle of a field .
Franz_Hall___A_janitor_was_said_to_have_been_clean.png,a black and white photo of a bathroom
There_are_two_ghosts_in_the_lecture_center__One_ma.png,a person standing on a platform with an umbrella
The_community_of_Indian_Meadows_and_its_sister_com.png,a black and white photo of a person on a skateboard .
Franklin_High_School___The_ghost_of_a_deceased_stu.png,a black and white photo of a train station .
Balls_of_light_strange_smoke_smells__This_is_so_re.png,a traffic light suspended over a city street .
Recently_Fallbrook_Union_High_School_weft_through.png,a red and white sign on a fence
Built_over_an_Indian_burial_ground__Back_in_1972_.png,a train traveling down tracks next to a train station .
Cupboards_opening_and_slamming_shut__Doors_open_an.png,a black and white photo of a room with a window
American_River___A_drowning_victim__in_wet_clothin.png,a man standing on a bridge holding an umbrella .
in_2003_at_the_end_of_April_the_15th_the_previous.png,a woman standing in front of a bathroom mirror .
Outside_of_Bartlesville__near_the_infamous__haunte.png,a group of sheep grazing in a grassy field .
During_the_spring_season_there_is_a_giant_puddle_u.png,a man sitting on a bench in front of a building .
This_camp_is_for_kids_under_18_who_are_disabled__T.png,a house that is in front of a house .
Three_fraternity_brothers_were_killed_in_an_accide.png,a group of people standing in front of a building .
Nyman_Hall___reports_of_a_former_drama_teacher_see.png,a bed sitting in a room next to a window .
Reports_a_gray_figure_coming_out_of_the_men_s_bath.png,a bathroom with a sink and a toilet
Our_Lady_of_Talpa_Catholic_School___In_the_school_.png,a man standing in front of a mirror in a bathroom .
The_daughter_of_the_plantation_owner_fell_down_the.png,a black and white photo of a hallway
A_strange_man_dressed_from_the_1920_s__has_been_se.png,a black and white photo of a man in a suit
A_nun_has_been_seen_walking_the_halls_in_the_oldes.png,a man standing in a kitchen next to a window .
About_two_or_three_miles_southeast_of_downtown_Kin.png,a black and white photo of a snow covered mountain .
This_mansion_is_haunted_by_Joseph_Jefferson_s__the.png,a view of a hallway with a clock on it .
Usually_during_late_September_or_early_October__bu.png,a black and white photo of a person holding an umbrella
One_night_in_1789_a_groundskeeper_for_the_tubercul.png,a black and white photo of a man sitting on a bed .
A_woman_was_struck_and_killed_on_the_blind_corner.png,a red stop sign sitting on the side of a road .
An_apparition_a_boy_believed_to_be_a_senior_who_wa.png,a close up of a person holding a frisbee
Handprints_found_frequently_on_movie_screen__This.png,a black and white photo of an old building
there_have_been_a_sighting_of_a_headless_person_be.png,a black and white photo of a man in a suit and tie
If_you_drop_a_rock_in_the_well_at_the_middle_of_th.png,a black and white photo of an old church .
many_years_before_it_was_a_military_school_it_was.png,a black and white photo of a bathroom
Most_of_the_very_large_Rivera_Library_was_remodele.png,a group of people sitting in a room with laptops .
NASA_GSFC___Bldg__25____strange_occureances__and_s.png,a building with a clock on the front of it .
There_have_been_numerous_sightings_of_a_woman_sear.png,a black and white photo of a horse drawn carriage .
Puente_Hills_Mall___Reports_of_phenomenon_happen_i.png,a bathroom with a sink and a mirror
Footsteps_have_been_heard_in_the_back_of_the_build.png,a bathroom with a toilet and a sink
Formerly_Pabst_Blue_Ribbon__this_complex_houses_on.png,a black and white photo of a train station .
McCandles_Hall___It_s_supposedly_haunted_by_a_girl.png,a black and white photo of a building with a clock tower .
It_is_said_that_the_ghosts_of_condemned_prisoners.png,a bathroom with a toilet and a sink
Said_to_be_haunted_by_a_janitor_who_walks_the_kitc.png,a woman taking a picture of herself in a mirror .
A_man_was_killed_in_the_hotel__and_now_he_s_haunti.png,a dog sitting on the floor in front of a window .
Witnesses_walking_up_the_path_from_the_elevated_cr.png,a person on a surfboard in the water .
The_old_firehouse____is_said_to_be_haunted_by_a_fe.png,a red brick building with a clock on it .
The_unsolved_murder_of_a_family_took_place_in_cabi.png,"a bathroom with a tub , toilet and sink ."
An_old_man_is_sometimes_spotted_at_table_13_and_in.png,a dining room with a table and chairs
There_are_little_people_that_live_around_the_mount.png,a statue of a man holding a teddy bear .
One_of_the_rooms_in_the_hotel_is_haunted_by_a_man.png,a bedroom with a bed and a window
NASA_GSFC___Bldg__27_Motor_pool___strange_feelings.png,a view of a room with a large window .
Please_do_not_attempt_to_trespass__Security_guards.png,a black and white photo of a park bench
The_last_people_to_live_there_was_a_girl_and_her_m.png,a brick building with a clock tower on it .
April_2008_Update__Formerly_listed_as_Skirvin_Hote.png,a large clock tower towering over a city .
browning_road_in_Delano_is_known_to_have__ghost_hi.png,a black and white photo of a city street .
Music_is_played_occasionally_on_an_old_piano_that.png,a bed sitting in a room next to a window .
Used_to_be_the_old_Apple_Valley_Inn__Reported_to_h.png,a black and white photo of a street sign .
_I___90th____Concrete_slabs_of_cells_still_remain_.png,a black and white photo of a fire hydrant .
A_ghost_is_known_to_haunt_the_Opera_House_in_downt.png,a large white oven in a small kitchen .
Back_many_years_ago_a_band_director_was_directing.png,a black and white photo of a building with a clock tower .
In_the_Early_1900_s_a_young_girl_around_15_was_kid.png,a black and white photo of a person in a bathroom
The_name_of_a_man_that_killed_a_little_boy__was_wr.png,a white frisbee sitting on top of a grass covered field .
It_is_said_that_a_little_girl_fell_into_this_well.png,a white dog sitting on top of a wooden bench .
Haunted_by_the_ghosts_of_several_Civil_War_soldier.png,a man holding a baseball bat on a field .
There_has_been_rumors_of_monks_and_priest_that_hav.png,a red fire hydrant in front of a building .
both_the_ride_itself_and_the_women_s__employee__lo.png,a woman is standing in front of a refrigerator .
It_s_said_that_there_is_a_female_ghost_that_walks.png,a woman sitting at a table with a plate of food .
An_office_building__now_vacant__on_Yale_Ave__in_so.png,a building with a window and a door .
Many_sightings_of_the__Ghost_Children__have_occurr.png,a black and white photo of a fire hydrant
Screams_and_cries_can_be_heard_in_this_forest__Als.png,a black and white photo of a giraffe
The_tunnels_that_run_underneath_Fullerton_are_acce.png,a train station with a train on the tracks .
The_grave_of_Jonathon_Buck_has_a_footprint_cracked.png,a black and white photo of an old fashion phone .
Not_to_much_is_told_about_the_hotel__but_there_is.png,a black and white photo of a bedroom
there_is_a_mausoleum_in_that_cemetery_that_opens_u.png,a large building with a clock tower in the center .
The_upper_suites__very_cold_at_night_and_feeling_v.png,a hotel room with two beds and a desk .
You_can_hear_noises__and_people_have_sighted_a_fem.png,a woman standing in front of a mirror in a bathroom .
Heard_a_clear_and_distinct_scream_of_a_woman_.png,a woman is taking a picture of herself in the mirror .
About_in_the_seventies__it_is_told_by_former_nurse.png,a bathroom with a sink and a mirror
the_road_from_Bakersfield_Elementary_School__The_r.png,a black and white photo of a city street
Downtown_Old_4th_Ave_Movie_Theatre___Some_see_a_la.png,a black and white photo of a subway train .
the_old_Fox_Theatre_building_is_rumored_to_have_Mi.png,a street sign on a city street corner
Reports_of_an_elderly_Indian_couple_roaming_the_gr.png,a building with a clock tower in the middle of it .
According_to_security_guards__a_woman_was_shot_by.png,a black and white photo of a bathroom
haunted_by_the_ghost_of_an_old_miner_.png,a black and white photo of a clock tower .
A_woman_named_Felicitae_Chretien_killed_a_pirate_o.png,a black and white photo of a man sitting on a bench .
Every_year_at_about_the_same_time_during_the_first.png,a black and white photo of a city street
Edgar_Allan_Poe_s_house_is_haunted_by_a_heavyset_f.png,a black and white photo of a clock tower .
Lights_flicker_although_there_is_no_electricity__g.png,a red fire hydrant sitting on the side of a road .
Fort_McClellan___A_very_old_fort_that_is_now_close.png,a black and white photo of a building with a clock tower .
This_graveyard_known_as_been_haunted__There_is_a_h.png,a fire hydrant sitting in the middle of a field .
a_few_years_ago_an_MTA_bus_crashed_into_a_small_ca.png,a black and white photo of a car and a truck
On_numerous_occasions_while_closing_the_library_in.png,a group of people standing next to a train .
This_is_Little_Rock_s_historic_district__Hundreds.png,a building with a clock on top of it
Reported_sighting_of_the_Dearlady_Running_right_al.png,a statue of a woman holding a teddy bear .
Owners_noticed_that_the_house_had_very_cold_spots.png,a living room filled with furniture and a fire place .
On_Wilshire_Boulevard_near_Vermont__Now_part_of_th.png,a black and white photo of a train station .
if_you_drive_to_the_very_back_of_the_cemetery_in_f.png,a row of wooden benches sitting next to each other .
Some_say_they_have_seen_a_young_girl_walking_aroun.png,a black and white photo of a fire hydrant .
In_the_theater_the_house_light_will_randomly_turn.png,a lit up lit candle lit up in the dark .
Strange_presence_felt___EVPs_recorded_.png,a bathroom with a toilet and a sink
former_site_of_MacAteer_H_S____singing_can_be_hear.png,a black and white photo of a brick building
It_is_said_that_people_have_seen_kids_being_hung_b.png,a black and white photo of a living room
When_going_up_the_stairs_to_the_second_floor__ther.png,a black and white photo of a train
Cars_break_down_frequently_on_this_bridge__even_sc.png,a train traveling over a bridge over a river .
A_former_patron_of_this_Irish_Pub_who_died_in_a_sl.png,a group of people standing outside of a building .
The_legend_of_the_bridge_past_Kitchen_Lake_is_that.png,a black and white photo of a fire hydrant
There_have_been_many_sightings_of_a_ghost_named_Ja.png,a black and white photo of a person on a laptop .
Once_an_ARMY_barrack__people_have_reported_seeing.png,a black and white photo of a street corner
Haunted_by_Dr__Griswold__the_founder_of_the_school.png,a group of people standing next to a building .
Barry_Hall___In_the_nights_there_are_ghosts_seen_i.png,a black and white photo of a clock tower .
Apparitions_of_a_mob_beating_each_other_up_with_cu.png,a black and white photo of a baseball game .
Witnesses_report_hearing_humming_like_a_person_was.png,a man in a black shirt and a tie in a room
This_is_a_turn_of_the_century_building_used_by_a_C.png,a church with a clock on the top of it .
Reports_of_a_residual_scene_of_a_murder_happening.png,a woman sitting on top of a white toilet .
It_is_said_that_along_the_river_there_is_an_old_ha.png,a black and white photo of a park bench
Balls_of_light_and_strange_eerie_noises_infest_the.png,a black and white photo of a street light
People_have_reported_there_names_being_called_in_o.png,a white bench sitting in the middle of a field .
This_old_fort_is_haunted_by_soldiers_that_died_the.png,a group of people standing in front of a building .
Has_been_removed__It_is_now_a_private_residence__N.png,a building with a clock tower on top of it .
During_any_time_of_a_school_day__you_can_peek_thro.png,a black and white photo of a man in a mirror
It_is_said_that_when_the_theater_was_first_being_b.png,a black and white photo of a man and a woman
Hughes_Hall___Room_219____Appliances_turn_on_by_th.png,a white refrigerator freezer sitting in a kitchen .
If_you_ever_take_the_time_to_visit_this_location_.png,a large white bear sitting on top of a rock .
Prankster_Indian_boy_plays_on_the_Mezzanine__headl.png,a black and white photo of a man sitting on a bench .
There_s_a_little_girl_who_died_in_the_place__She_s.png,a person holding a skateboard in front of a wall .
NASA_GSFC___Bldg__17___second_floor_has_cold_spots.png,a white refrigerator freezer sitting inside of a kitchen .
Place_is_known_to_be_haunted_by_a_man_name_Martin.png,a sign on a pole on a street .
Its_the_oldest_building_in_the_city__and_is_so_hau.png,a living room filled with furniture and a fire place .
said_to_have_a_ghost_that_appears_as_a_glowing_mas.png,"a bathroom with a sink , toilet and tub ."
There_have_been_countless_deaths_and_mishaps_in_th.png,a black and white photo of a small room
A_few_people_have_reported_picking_up_a_female_hit.png,a black and white photo of a fire hydrant .
the_Cary_House_Hotel_is_one_of_Placervilles_most_h.png,a man standing in a living room next to a window .
Venice_high_school___it_has_been_said_that_auditor.png,a room filled with lots of wooden furniture .
A_former_worker__and_one_of_the_people_who_helped.png,a black and white photo of a man sitting on a bench .
The_original_proprietor_of_the_building__and_sever.png,a black and white photo of a city street .
Gymnasium___Witnesses_have_reported_that_the_High.png,a man standing in a room with a table and chairs .
Feeling_of_not_being_alone_in_the_building_after_h.png,a bathroom with a sink and a mirror
The_school_burnt_down_a_few_years_back_killing_a_f.png,a view of a hallway from a hallway with a door .
William_O__Darby_Jr__High_School___The_staircase_i.png,a black and white photo of a train station .
Dykstra_Hall___Dykstra_10th_floor_showers_turn_on.png,"a bathroom with a sink , toilet and shower ."
On_dark_nights__when_the_moon_is_not_bright__voice.png,a bed in a room next to a window .
The_ghost_light_of_a_young_girl_that_died_trying_t.png,a black and white photo of a fire hydrant .
Browns_Springs_is_a_very_widely_known_in_and_aroun.png,a group of sheep are standing in a field .
The_vaudeville_era_Palace_at_6th_and_Broadway_is_s.png,a bedroom with a bed and a window
the_old_hospital___There_is_a_presence_that_inhabi.png,a black and white photo of a kitchen .
If_you_look_through_the_gates_at_the_Old_Mill__you.png,a couple of birds standing on top of a roof .
College_Road___right_off_main_street__has_seven_hi.png,a black and white photo of a city street
There_is_a_school_off_in_the_woods_behind_lake_blu.png,a large building with a train on the tracks .
in_the_80_s_a_student_died_in_a_crash__he_said_to.png,a man holding a skateboard in his hand .
The_story_behind_green_eyes_is_unclear_nobody_real.png,a woman is holding a cell phone in her hand .
Each_year_on_Halloween_the_local_Drama_Club_puts_u.png,a large building with a clock on it .
Reports_of_orbs_and_the_sounds_of_a_battle_emanati.png,a dog is playing with a frisbee in the grass .
Formerly_the_Redwood_Hospital___is_said_to_be_haun.png,a red fire hydrant in front of a building .
Reports_of_hearing_voices_and_all_kinds_of_racket.png,a black and white photo of a bathroom
Now_a_bar__used_to_be_a_jail__People_died_in_there.png,a room with a bed and a window
Near_Chikasaw_National_Recreational_area_there_is.png,a bench sitting in the middle of a lush green field .
Ballestone_Manor___Figures_seen__objects_being_mov.png,a church with a steeple and a clock tower .
Woodson_Lateral_Road___The_Woodson_and_Woodson_Lat.png,a street with a street light and a building .
Supposedly_the_last_place_where_singer_Enrico_Caru.png,a black and white photo of a person sitting on a bench
The_Imperial_Arts_council_formerly_the_old_Post_of.png,a large building with a clock on it .
The_large_chapel_definitely_has_two_separate_prese.png,a room with a clock on the wall
Apparitions__unexplained_sounds__cold_spots__objec.png,a tall building with a clock on top of it .
The_cafe_is_inside_the_old_high_school_gymnasium_.png,a black and white photo of a bathroom
The_spirit_of_a_little_girl_who_was_murdered_in_th.png,a black and white photo of a woman holding a teddy bear .
a_woman_in_white_appears_at_a_dark_table_in_the_co.png,a person holding a pair of scissors in their hands .
there_are_several_ghosts_that_haunt_this_old_schoo.png,a black and white photo of a bathroom
At_night__if_you_park_your_car_on_the_other_side_o.png,a park bench sitting in the middle of a forest .
Palm_Desert_High_School___It_is_reported_of_a_youn.png,a large pool of water with people sitting on it
Reports_of_mirrors_falling_from_walls_.png,a black and white photo of a room with a window
The_back_room_in_the_Parish_Hall__Some_say_they_ha.png,a black and white photo of a living room
Story_is_that_a_little_girl_that_ran_away_from_hom.png,a black and white photo of a person sitting on a bench
A_man_student_was_shot_18_times_in_the_head_you_ca.png,a man standing in a room with a suitcase .
room_219_is_haunted_by_a_ghost_of_an_elderly_man_.png,a man standing in front of a mirror in a bedroom .
North_Morton_Hall__This_is_one_of_the_most_notorio.png,a brick building with a clock on the side of it .
the_sight_of_a_single_lane_ironwork_bridge_now_rep.png,a train traveling over a bridge over a river .
Formerly_part_of_Castle_Air_Force_Base__it_houses.png,a fighter jet sitting on top of an airport runway .
Near_Auburn__there_is_an_old_abandoned_train_depot.png,a large building with a clock tower on top .
Ghosts_have_been_sighted_in_Theatre_Three__and_emp.png,a room filled with lots of colorful furniture .
Flags_placed_on_graves_blow_from_wind_that_is_not.png,a group of people standing on top of a lush green field .
Gravesite_of_witch_who_taunted_townspeople_in_the.png,a black and white photo of a fire hydrant
On_a_full_moon__you_can_here_the_sounds_of_gun_sho.png,a black and white photo of a building with a clock tower .
May_2008_Update__Burned_down_to_the_ground_several.png,a group of people standing in front of a building .
The_old_building_which_is_almost_hidden_in_the_woo.png,a red brick building with a clock on it .
Rumor_goes_that_an_old_farmhouse_southeast_of_Blac.png,a black and white photo of an old church .
Many_ghosts_reported_being_seen_by_those_who_are_c.png,a black and white photo of a boat in the water .
This_cemetery_is_over_150_years_old_and_is_said_to.png,a red and white fire hydrant sitting in the middle of a field .
its_a_legend_there_up_that_some_girl_had_died_in_t.png,a view of a hallway from a hallway .
Behind_all_of_the_bushes_and_debris_is_an_steep_hi.png,a couple of trees that are in the grass .
The_Hotel_was_reportedly_a_brothel_owned_by_a_Mada.png,a bathroom with a toilet and a shower .
Room_15___Many_guests_and_staff_testify_that_it_is.png,a bedroom with a bed and a desk
Reports_of_the_park_being_in_habited_by__little_pe.png,a horse standing in a field next to a tree .
The_resident_ghost_of_the_theatre__Christine__has.png,a man standing in front of a mirror holding a camera .
Ghosts_of_Civil_War_soldiers_haunt_the_area____Dec.png,a red fire hydrant sitting in the middle of a forest .
there_has_been_sightings_of_a_large_black_appariti.png,a black and white photo of a person holding a skateboard .
Employees_claim_to_hear_a_little_girls_laughter_la.png,a store with a bunch of bananas on it
It_has_been_said_that_at_night_you_can_see_a_women.png,a black and white photo of a bathroom .
A_young_woman_that_died_just_before_the__rush__beg.png,a man is laying on a bed in a room .
most_people_say_that_if_u_go_there_and_sit_in_the.png,a black and white photo of a bedroom
Noises_have_often_been_heard_from_inside_the_carou.png,a large elephant statue sitting on top of a table .
the_sound_of_footsteps_can_be_heard_as_well_as_voi.png,a black and white photo of a bathroom with a window
Very_few_people_have_seen_the_ghost_of_a_4_year_ol.png,a man riding a bike down a street next to a dog .
There_are_many_buildings_here_that_used_to_be_a_ol.png,a tall building with a clock on it .
Many_people_have_taken_the_elevator_in_the_learnin.png,a man standing in front of a mirror in a room .
Haunted_by_Carolina_and_Anna_Riodan_.png,a man standing in front of a window in a room .
Mallet_Hall_Dorm___Third_Floor___It_seems_the_thir.png,a man standing in front of a mirror in a room .
A_911_Operator_got_a_call_from_Room_1007_in_this_h.png,"a bathroom with a sink , toilet , and bathtub ."
NASA_GSFC___Bldg__12___Extreme_feeling_of_dread__o.png,a tall building with a clock on it
recent_death_of_52_year_old_in_haunted_house__Orbs.png,a living room with a couch and a table
The_college_was_built_on_the_site_of_an_old_Navy_h.png,a black and white photo of a city street .
